notes,county,fips,sex,sex_code,year,year_code,deaths,population,crude_rate,crude_rate_ci_lower,crude_rate_ci_upper,mcd_type
nan,"Baldwin County, AL",01003,Male,M,2020,2020,11,111000.0,9.9,4.9,17.7,T401_heroin
nan,"Jefferson County, AL",01073,Female,F,2018,2018,18,347709.0,5.2,3.1,8.2,T401_heroin
nan,"Jefferson County, AL",01073,Female,F,2019,2019,20,347341.0,5.8,3.5,8.9,T401_heroin
nan,"Jefferson County, AL",01073,Female,F,2020,2020,18,346110.0,5.2,3.1,8.2,T401_heroin
nan,"Jefferson County, AL",01073,Female,F,2021,2021,16,350801.0,4.6,2.6,7.4,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2018,2018,60,311591.0,19.3,14.7,24.8,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2019,2019,51,311232.0,16.4,12.2,21.5,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2020,2020,49,309232.0,15.8,11.7,20.9,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2021,2021,42,317019.0,13.2,9.5,17.9,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2022,2022,10,315909.0,3.2,1.5,5.8,T401_heroin
nan,"Jefferson County, AL",01073,Male,M,2023,2023,11,314136.0,3.5,1.7,6.3,T401_heroin
nan,"Shelby County, AL",01117,Male,M,2018,2018,10,104270.0,9.6,4.6,17.6,T401_heroin
nan,"Anchorage Borough, AK",02020,Female,F,2021,2021,13,140620.0,9.2,4.9,15.8,T401_heroin
nan,"Anchorage Borough, AK",02020,Male,M,2018,2018,10,148384.0,6.7,3.2,12.4,T401_heroin
nan,"Anchorage Borough, AK",02020,Male,M,2019,2019,13,146468.0,8.9,4.7,15.2,T401_heroin
nan,"Anchorage Borough, AK",02020,Male,M,2020,2020,10,146207.0,6.8,3.3,12.6,T401_heroin
nan,"Anchorage Borough, AK",02020,Male,M,2021,2021,18,147501.0,12.2,7.2,19.3,T401_heroin
nan,"Anchorage Borough, AK",02020,Male,M,2022,2022,20,147178.0,13.6,8.3,21.0,T401_heroin
nan,"Matanuska-Susitna Borough, AK",02170,Male,M,2021,2021,12,57602.0,20.8,10.8,36.4,T401_heroin
nan,"Maricopa County, AZ",04013,Female,F,2018,2018,46,2229106.0,2.1,1.5,2.8,T401_heroin
nan,"Maricopa County, AZ",04013,Female,F,2019,2019,31,2268184.0,1.4,0.9,1.9,T401_heroin
nan,"Maricopa County, AZ",04013,Female,F,2020,2020,21,2315645.0,0.9,0.6,1.4,T401_heroin
nan,"Maricopa County, AZ",04013,Female,F,2021,2021,10,2261564.0,0.4,0.2,0.8,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2018,2018,186,2181718.0,8.5,7.3,9.8,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2019,2019,129,2217230.0,5.8,4.8,6.8,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2020,2020,83,2263436.0,3.7,2.9,4.5,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2021,2021,49,2235024.0,2.2,1.6,2.9,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2022,2022,22,2268611.0,1.0,0.6,1.5,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2023,2023,26,2280286.0,1.1,0.7,1.7,T401_heroin
nan,"Maricopa County, AZ",04013,Male,M,2024,2024,18,2325728.0,0.8,0.5,1.2,T401_heroin
nan,"Pima County, AZ",04019,Female,F,2018,2018,15,527617.0,2.8,1.6,4.7,T401_heroin
nan,"Pima County, AZ",04019,Female,F,2019,2019,10,531683.0,1.9,0.9,3.5,T401_heroin
nan,"Pima County, AZ",04019,Female,F,2020,2020,19,539469.0,3.5,2.1,5.5,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2018,2018,58,511456.0,11.3,8.6,14.7,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2019,2019,61,515596.0,11.8,9.0,15.2,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2020,2020,45,521706.0,8.6,6.3,11.5,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2021,2021,27,520254.0,5.2,3.4,7.6,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2022,2022,11,523349.0,2.1,1.0,3.8,T401_heroin
nan,"Pima County, AZ",04019,Male,M,2023,2023,10,525252.0,1.9,0.9,3.5,T401_heroin
nan,"Yavapai County, AZ",04025,Male,M,2020,2020,10,117392.0,8.5,4.1,15.7,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2019,2019,22,823247.0,2.7,1.7,4.0,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2020,2020,14,818610.0,1.7,0.9,2.9,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2021,2021,17,816889.0,2.1,1.2,3.3,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2022,2022,28,809336.0,3.5,2.3,5.0,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2023,2023,11,804487.0,1.4,0.7,2.4,T401_heroin
nan,"Alameda County, CA",06001,Male,M,2024,2024,17,818318.0,2.1,1.2,3.3,T401_heroin
nan,"Butte County, CA",06007,Male,M,2020,2020,11,105259.0,10.5,5.2,18.7,T401_heroin
nan,"Butte County, CA",06007,Male,M,2021,2021,10,103590.0,9.7,4.6,17.8,T401_heroin
nan,"Contra Costa County, CA",06013,Male,M,2018,2018,12,562483.0,2.1,1.1,3.7,T401_heroin
nan,"Contra Costa County, CA",06013,Male,M,2019,2019,19,564187.0,3.4,2.0,5.3,T401_heroin
nan,"Contra Costa County, CA",06013,Male,M,2020,2020,15,563379.0,2.7,1.5,4.4,T401_heroin
nan,"Contra Costa County, CA",06013,Male,M,2021,2021,10,570925.0,1.8,0.8,3.2,T401_heroin
nan,"Kern County, CA",06029,Male,M,2018,2018,15,459690.0,3.3,1.8,5.4,T401_heroin
nan,"Kern County, CA",06029,Male,M,2019,2019,30,461034.0,6.5,4.4,9.3,T401_heroin
nan,"Kern County, CA",06029,Male,M,2020,2020,41,460613.0,8.9,6.4,12.1,T401_heroin
nan,"Kern County, CA",06029,Male,M,2021,2021,29,471601.0,6.1,4.1,8.8,T401_heroin
