notes,county,fips,year,year_code,deaths,population,crude_rate,crude_rate_ci_lower,crude_rate_ci_upper,mcd_type
nan,"Baldwin County, AL",01003,2020,2020,12,229287.0,5.2,2.7,9.1,T401_heroin
nan,"Jefferson County, AL",01073,2018,2018,78,659300.0,11.8,9.4,14.8,T401_heroin
nan,"Jefferson County, AL",01073,2019,2019,71,658573.0,10.8,8.4,13.6,T401_heroin
nan,"Jefferson County, AL",01073,2020,2020,67,655342.0,10.2,7.9,13.0,T401_heroin
nan,"Jefferson County, AL",01073,2021,2021,58,667820.0,8.7,6.6,11.2,T401_heroin
nan,"Jefferson County, AL",01073,2022,2022,15,665409.0,2.3,1.3,3.7,T401_heroin
nan,"Jefferson County, AL",01073,2023,2023,14,662895.0,2.1,1.2,3.5,T401_heroin
nan,"St. Clair County, AL",01115,2021,2021,12,92748.0,12.9,6.7,22.6,T401_heroin
nan,"Shelby County, AL",01117,2018,2018,12,215707.0,5.6,2.9,9.7,T401_heroin
nan,"Shelby County, AL",01117,2021,2021,11,226902.0,4.8,2.4,8.7,T401_heroin
nan,"Anchorage Borough, AK",02020,2018,2018,17,291538.0,5.8,3.4,9.3,T401_heroin
nan,"Anchorage Borough, AK",02020,2019,2019,18,288000.0,6.2,3.7,9.9,T401_heroin
nan,"Anchorage Borough, AK",02020,2020,2020,15,287095.0,5.2,2.9,8.6,T401_heroin
nan,"Anchorage Borough, AK",02020,2021,2021,31,288121.0,10.8,7.3,15.3,T401_heroin
nan,"Anchorage Borough, AK",02020,2022,2022,23,287145.0,8.0,5.1,12.0,T401_heroin
nan,"Matanuska-Susitna Borough, AK",02170,2021,2021,13,110686.0,11.7,6.3,20.1,T401_heroin
nan,"Cochise County, AZ",04003,2020,2020,11,127450.0,8.6,4.3,15.4,T401_heroin
nan,"Maricopa County, AZ",04013,2018,2018,232,4410824.0,5.3,4.6,5.9,T401_heroin
nan,"Maricopa County, AZ",04013,2019,2019,160,4485414.0,3.6,3.0,4.1,T401_heroin
nan,"Maricopa County, AZ",04013,2020,2020,104,4579081.0,2.3,1.8,2.7,T401_heroin
nan,"Maricopa County, AZ",04013,2021,2021,59,4496588.0,1.3,1.0,1.7,T401_heroin
nan,"Maricopa County, AZ",04013,2022,2022,30,4551524.0,0.7,0.4,0.9,T401_heroin
nan,"Maricopa County, AZ",04013,2023,2023,30,4585871.0,0.7,0.4,0.9,T401_heroin
nan,"Maricopa County, AZ",04013,2024,2024,19,4673096.0,0.4,0.2,0.6,T401_heroin
nan,"Pima County, AZ",04019,2018,2018,73,1039073.0,7.0,5.5,8.8,T401_heroin
nan,"Pima County, AZ",04019,2019,2019,71,1047279.0,6.8,5.3,8.6,T401_heroin
