"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code","Year","Year Code",Deaths
,"Maricopa County, AZ","04013","26 years","26","2018","2018",12
,"Maricopa County, AZ","04013","38 years","38","2018","2018",10
,"Los Angeles County, CA","06037","30 years","30","2020","2020",13
,"Los Angeles County, CA","06037","31 years","31","2020","2020",11
,"Los Angeles County, CA","06037","32 years","32","2021","2021",11
,"Los Angeles County, CA","06037","34 years","34","2020","2020",10
,"Los Angeles County, CA","06037","38 years","38","2020","2020",11
,"Los Angeles County, CA","06037","39 years","39","2020","2020",12
,"Los Angeles County, CA","06037","52 years","52","2020","2020",11
,"Los Angeles County, CA","06037","63 years","63","2022","2022",10
,"Cook County, IL","17031","22 years","22","2018","2018",13
,"Cook County, IL","17031","26 years","26","2018","2018",15
,"Cook County, IL","17031","27 years","27","2018","2018",11
,"Cook County, IL","17031","27 years","27","2020","2020",14
,"Cook County, IL","17031","28 years","28","2019","2019",18
,"Cook County, IL","17031","29 years","29","2018","2018",12
,"Cook County, IL","17031","29 years","29","2019","2019",12
,"Cook County, IL","17031","29 years","29","2020","2020",11
,"Cook County, IL","17031","29 years","29","2022","2022",11
,"Cook County, IL","17031","30 years","30","2018","2018",12
,"Cook County, IL","17031","30 years","30","2020","2020",10
,"Cook County, IL","17031","31 years","31","2019","2019",13
,"Cook County, IL","17031","31 years","31","2020","2020",12
,"Cook County, IL","17031","31 years","31","2021","2021",10
,"Cook County, IL","17031","31 years","31","2022","2022",10
,"Cook County, IL","17031","32 years","32","2018","2018",14
,"Cook County, IL","17031","32 years","32","2021","2021",10
,"Cook County, IL","17031","33 years","33","2020","2020",14
,"Cook County, IL","17031","34 years","34","2019","2019",11
,"Cook County, IL","17031","34 years","34","2020","2020",11
,"Cook County, IL","17031","35 years","35","2020","2020",15
,"Cook County, IL","17031","36 years","36","2019","2019",16
,"Cook County, IL","17031","36 years","36","2020","2020",24
,"Cook County, IL","17031","37 years","37","2018","2018",16
,"Cook County, IL","17031","37 years","37","2019","2019",13
,"Cook County, IL","17031","37 years","37","2020","2020",12
,"Cook County, IL","17031","37 years","37","2022","2022",10
,"Cook County, IL","17031","38 years","38","2018","2018",13
,"Cook County, IL","17031","38 years","38","2019","2019",10
,"Cook County, IL","17031","38 years","38","2020","2020",11
,"Cook County, IL","17031","38 years","38","2021","2021",12
,"Cook County, IL","17031","38 years","38","2023","2023",11
,"Cook County, IL","17031","39 years","39","2018","2018",14
,"Cook County, IL","17031","39 years","39","2019","2019",17
,"Cook County, IL","17031","39 years","39","2021","2021",12
,"Cook County, IL","17031","40 years","40","2018","2018",12
,"Cook County, IL","17031","40 years","40","2020","2020",16
,"Cook County, IL","17031","40 years","40","2021","2021",13
,"Cook County, IL","17031","41 years","41","2018","2018",13
,"Cook County, IL","17031","41 years","41","2019","2019",16
,"Cook County, IL","17031","41 years","41","2020","2020",15
,"Cook County, IL","17031","42 years","42","2018","2018",16
,"Cook County, IL","17031","42 years","42","2019","2019",12
,"Cook County, IL","17031","42 years","42","2020","2020",13
,"Cook County, IL","17031","42 years","42","2021","2021",11
,"Cook County, IL","17031","43 years","43","2018","2018",13
,"Cook County, IL","17031","44 years","44","2018","2018",15
,"Cook County, IL","17031","44 years","44","2020","2020",11
,"Cook County, IL","17031","44 years","44","2021","2021",10
,"Cook County, IL","17031","45 years","45","2018","2018",14
,"Cook County, IL","17031","45 years","45","2019","2019",15
,"Cook County, IL","17031","45 years","45","2020","2020",21
,"Cook County, IL","17031","45 years","45","2022","2022",11
,"Cook County, IL","17031","46 years","46","2018","2018",10
,"Cook County, IL","17031","46 years","46","2019","2019",12
,"Cook County, IL","17031","46 years","46","2020","2020",13
,"Cook County, IL","17031","46 years","46","2021","2021",11
,"Cook County, IL","17031","47 years","47","2018","2018",19
,"Cook County, IL","17031","47 years","47","2019","2019",17
,"Cook County, IL","17031","47 years","47","2020","2020",17
,"Cook County, IL","17031","47 years","47","2021","2021",12
,"Cook County, IL","17031","48 years","48","2018","2018",11
,"Cook County, IL","17031","48 years","48","2019","2019",16
,"Cook County, IL","17031","48 years","48","2020","2020",21
,"Cook County, IL","17031","48 years","48","2021","2021",13
,"Cook County, IL","17031","49 years","49","2018","2018",17
,"Cook County, IL","17031","49 years","49","2019","2019",30
,"Cook County, IL","17031","49 years","49","2020","2020",30
,"Cook County, IL","17031","49 years","49","2021","2021",17
,"Cook County, IL","17031","50 years","50","2018","2018",14
,"Cook County, IL","17031","50 years","50","2019","2019",17
,"Cook County, IL","17031","50 years","50","2020","2020",19
,"Cook County, IL","17031","50 years","50","2021","2021",18
,"Cook County, IL","17031","51 years","51","2018","2018",20
,"Cook County, IL","17031","51 years","51","2019","2019",13
,"Cook County, IL","17031","51 years","51","2020","2020",23
,"Cook County, IL","17031","51 years","51","2021","2021",20
,"Cook County, IL","17031","51 years","51","2022","2022",10
,"Cook County, IL","17031","52 years","52","2018","2018",15
,"Cook County, IL","17031","52 years","52","2019","2019",17
,"Cook County, IL","17031","52 years","52","2020","2020",26
,"Cook County, IL","17031","52 years","52","2021","2021",19
,"Cook County, IL","17031","52 years","52","2022","2022",13
,"Cook County, IL","17031","53 years","53","2018","2018",23
