"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code",Deaths
,"Maricopa County, AZ","04013","29 years","29",10
,"Maricopa County, AZ","04013","30 years","30",11
,"Maricopa County, AZ","04013","31 years","31",10
,"Maricopa County, AZ","04013","32 years","32",14
,"Maricopa County, AZ","04013","37 years","37",14
,"Maricopa County, AZ","04013","56 years","56",10
,"Maricopa County, AZ","04013","58 years","58",14
,"Maricopa County, AZ","04013","60 years","60",12
,"San Francisco County, CA","06075","56 years","56",11
,"Fairfield County, CT","09001","57 years","57",11
,"New Haven County, CT","09009","37 years","37",11
,"New Haven County, CT","09009","49 years","49",12
,"New Haven County, CT","09009","57 years","57",11
,"New Haven County, CT","09009","59 years","59",11
,"District of Columbia, DC","11001","63 years","63",11
,"District of Columbia, DC","11001","65 years","65",10
,"Cook County, IL","17031","29 years","29",10
,"Cook County, IL","17031","35 years","35",10
,"Cook County, IL","17031","36 years","36",11
,"Cook County, IL","17031","38 years","38",15
,"Cook County, IL","17031","39 years","39",13
,"Cook County, IL","17031","40 years","40",10
,"Cook County, IL","17031","41 years","41",12
,"Cook County, IL","17031","44 years","44",12
,"Cook County, IL","17031","45 years","45",11
,"Cook County, IL","17031","46 years","46",10
,"Cook County, IL","17031","47 years","47",20
,"Cook County, IL","17031","48 years","48",21
,"Cook County, IL","17031","49 years","49",22
,"Cook County, IL","17031","50 years","50",19
,"Cook County, IL","17031","51 years","51",22
,"Cook County, IL","17031","52 years","52",17
,"Cook County, IL","17031","53 years","53",26
,"Cook County, IL","17031","54 years","54",19
,"Cook County, IL","17031","55 years","55",14
,"Cook County, IL","17031","56 years","56",30
,"Cook County, IL","17031","57 years","57",34
,"Cook County, IL","17031","58 years","58",20
,"Cook County, IL","17031","59 years","59",36
,"Cook County, IL","17031","60 years","60",28
,"Cook County, IL","17031","61 years","61",24
,"Cook County, IL","17031","62 years","62",22
,"Cook County, IL","17031","63 years","63",17
,"Cook County, IL","17031","64 years","64",13
,"Cook County, IL","17031","65 years","65",21
,"Cook County, IL","17031","66 years","66",16
,"Cook County, IL","17031","67 years","67",19
,"Cook County, IL","17031","68 years","68",10
,"Cook County, IL","17031","72 years","72",10
,"Baltimore County, MD","24005","31 years","31",10
,"Baltimore County, MD","24005","37 years","37",11
,"Baltimore County, MD","24005","38 years","38",13
,"Baltimore County, MD","24005","55 years","55",12
,"Baltimore County, MD","24005","56 years","56",10
,"Baltimore County, MD","24005","59 years","59",11
,"Baltimore County, MD","24005","60 years","60",10
,"Baltimore city, MD","24510","32 years","32",11
,"Baltimore city, MD","24510","34 years","34",10
,"Baltimore city, MD","24510","36 years","36",10
,"Baltimore city, MD","24510","37 years","37",10
,"Baltimore city, MD","24510","38 years","38",11
,"Baltimore city, MD","24510","39 years","39",10
,"Baltimore city, MD","24510","42 years","42",10
,"Baltimore city, MD","24510","43 years","43",13
,"Baltimore city, MD","24510","45 years","45",14
,"Baltimore city, MD","24510","46 years","46",13
,"Baltimore city, MD","24510","47 years","47",11
,"Baltimore city, MD","24510","48 years","48",13
,"Baltimore city, MD","24510","49 years","49",10
,"Baltimore city, MD","24510","50 years","50",28
,"Baltimore city, MD","24510","51 years","51",21
,"Baltimore city, MD","24510","52 years","52",27
,"Baltimore city, MD","24510","53 years","53",28
,"Baltimore city, MD","24510","54 years","54",22
,"Baltimore city, MD","24510","55 years","55",28
,"Baltimore city, MD","24510","56 years","56",18
,"Baltimore city, MD","24510","57 years","57",27
,"Baltimore city, MD","24510","58 years","58",32
,"Baltimore city, MD","24510","59 years","59",26
,"Baltimore city, MD","24510","60 years","60",23
,"Baltimore city, MD","24510","61 years","61",27
,"Baltimore city, MD","24510","62 years","62",27
,"Baltimore city, MD","24510","63 years","63",19
,"Baltimore city, MD","24510","64 years","64",25
,"Baltimore city, MD","24510","65 years","65",11
,"Baltimore city, MD","24510","66 years","66",12
,"Baltimore city, MD","24510","67 years","67",10
,"Bristol County, MA","25005","53 years","53",10
,"Essex County, NJ","34013","57 years","57",10
,"Bernalillo County, NM","35001","45 years","45",10
,"Bronx County, NY","36005","40 years","40",10
,"Bronx County, NY","36005","42 years","42",14
,"Bronx County, NY","36005","43 years","43",10
,"Bronx County, NY","36005","45 years","45",12
,"Bronx County, NY","36005","46 years","46",10
,"Bronx County, NY","36005","48 years","48",16
,"Bronx County, NY","36005","49 years","49",19
,"Bronx County, NY","36005","50 years","50",18
,"Bronx County, NY","36005","51 years","51",21
,"Bronx County, NY","36005","52 years","52",21
,"Bronx County, NY","36005","53 years","53",24
,"Bronx County, NY","36005","54 years","54",28
,"Bronx County, NY","36005","55 years","55",27
,"Bronx County, NY","36005","56 years","56",33
,"Bronx County, NY","36005","57 years","57",31
,"Bronx County, NY","36005","58 years","58",32
,"Bronx County, NY","36005","59 years","59",25
,"Bronx County, NY","36005","60 years","60",36
,"Bronx County, NY","36005","61 years","61",22
,"Bronx County, NY","36005","62 years","62",33
,"Bronx County, NY","36005","63 years","63",30
,"Bronx County, NY","36005","64 years","64",27
,"Bronx County, NY","36005","65 years","65",21
,"Bronx County, NY","36005","66 years","66",23
,"Bronx County, NY","36005","67 years","67",19
,"Kings County, NY","36047","37 years","37",12
,"Kings County, NY","36047","46 years","46",14
,"Kings County, NY","36047","47 years","47",10
,"Kings County, NY","36047","52 years","52",17
,"Kings County, NY","36047","53 years","53",18
,"Kings County, NY","36047","54 years","54",19
,"Kings County, NY","36047","55 years","55",19
,"Kings County, NY","36047","56 years","56",17
,"Kings County, NY","36047","57 years","57",24
,"Kings County, NY","36047","58 years","58",16
,"Kings County, NY","36047","59 years","59",19
,"Kings County, NY","36047","60 years","60",18
,"Kings County, NY","36047","61 years","61",21
,"Kings County, NY","36047","62 years","62",18
,"Kings County, NY","36047","63 years","63",17
