"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code",Deaths
,"Baldwin County, AL","01003","33 years","33",11
,"Baldwin County, AL","01003","34 years","34",10
,"Baldwin County, AL","01003","36 years","36",14
,"Baldwin County, AL","01003","38 years","38",10
,"Baldwin County, AL","01003","42 years","42",10
,"Jefferson County, AL","01073","23 years","23",19
,"Jefferson County, AL","01073","24 years","24",11
,"Jefferson County, AL","01073","25 years","25",19
,"Jefferson County, AL","01073","26 years","26",25
,"Jefferson County, AL","01073","27 years","27",22
,"Jefferson County, AL","01073","28 years","28",33
,"Jefferson County, AL","01073","29 years","29",30
,"Jefferson County, AL","01073","30 years","30",38
,"Jefferson County, AL","01073","31 years","31",37
,"Jefferson County, AL","01073","32 years","32",37
,"Jefferson County, AL","01073","33 years","33",56
,"Jefferson County, AL","01073","34 years","34",47
,"Jefferson County, AL","01073","35 years","35",39
,"Jefferson County, AL","01073","36 years","36",47
,"Jefferson County, AL","01073","37 years","37",49
,"Jefferson County, AL","01073","38 years","38",59
,"Jefferson County, AL","01073","39 years","39",43
,"Jefferson County, AL","01073","40 years","40",36
,"Jefferson County, AL","01073","41 years","41",61
,"Jefferson County, AL","01073","42 years","42",59
,"Jefferson County, AL","01073","43 years","43",53
,"Jefferson County, AL","01073","44 years","44",46
,"Jefferson County, AL","01073","45 years","45",47
,"Jefferson County, AL","01073","46 years","46",31
,"Jefferson County, AL","01073","47 years","47",37
,"Jefferson County, AL","01073","48 years","48",36
,"Jefferson County, AL","01073","49 years","49",32
,"Jefferson County, AL","01073","50 years","50",34
,"Jefferson County, AL","01073","51 years","51",32
,"Jefferson County, AL","01073","52 years","52",33
,"Jefferson County, AL","01073","53 years","53",23
,"Jefferson County, AL","01073","54 years","54",23
,"Jefferson County, AL","01073","55 years","55",23
,"Jefferson County, AL","01073","56 years","56",20
,"Jefferson County, AL","01073","57 years","57",23
,"Jefferson County, AL","01073","58 years","58",27
,"Jefferson County, AL","01073","59 years","59",20
,"Jefferson County, AL","01073","60 years","60",23
,"Jefferson County, AL","01073","61 years","61",21
,"Jefferson County, AL","01073","62 years","62",24
,"Jefferson County, AL","01073","63 years","63",16
,"Jefferson County, AL","01073","64 years","64",13
,"Jefferson County, AL","01073","66 years","66",12
,"Madison County, AL","01089","25 years","25",11
,"Madison County, AL","01089","27 years","27",12
,"Madison County, AL","01089","28 years","28",10
,"Madison County, AL","01089","29 years","29",16
,"Madison County, AL","01089","30 years","30",15
,"Madison County, AL","01089","31 years","31",17
