"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code",Deaths
,"Jefferson County, AL","01073","27 years","27",11
,"Jefferson County, AL","01073","31 years","31",11
,"Jefferson County, AL","01073","32 years","32",13
,"Jefferson County, AL","01073","33 years","33",19
,"Jefferson County, AL","01073","34 years","34",16
,"Jefferson County, AL","01073","35 years","35",18
,"Jefferson County, AL","01073","36 years","36",10
,"Jefferson County, AL","01073","37 years","37",15
,"Jefferson County, AL","01073","38 years","38",19
,"Jefferson County, AL","01073","39 years","39",17
,"Jefferson County, AL","01073","40 years","40",15
,"Jefferson County, AL","01073","41 years","41",21
,"Jefferson County, AL","01073","42 years","42",16
,"Jefferson County, AL","01073","43 years","43",15
,"Jefferson County, AL","01073","44 years","44",18
,"Jefferson County, AL","01073","45 years","45",26
,"Jefferson County, AL","01073","46 years","46",17
,"Jefferson County, AL","01073","47 years","47",17
,"Jefferson County, AL","01073","48 years","48",11
,"Jefferson County, AL","01073","49 years","49",17
,"Jefferson County, AL","01073","50 years","50",14
,"Jefferson County, AL","01073","51 years","51",21
,"Jefferson County, AL","01073","52 years","52",13
,"Jefferson County, AL","01073","53 years","53",16
,"Jefferson County, AL","01073","57 years","57",11
,"Jefferson County, AL","01073","58 years","58",20
,"Jefferson County, AL","01073","59 years","59",11
,"Jefferson County, AL","01073","60 years","60",18
,"Jefferson County, AL","01073","61 years","61",11
,"Jefferson County, AL","01073","62 years","62",16
,"Jefferson County, AL","01073","63 years","63",10
,"Jefferson County, AL","01073","64 years","64",11
,"Jefferson County, AL","01073","66 years","66",11
,"Maricopa County, AZ","04013","20 years","20",17
,"Maricopa County, AZ","04013","21 years","21",16
,"Maricopa County, AZ","04013","22 years","22",15
,"Maricopa County, AZ","04013","23 years","23",26
,"Maricopa County, AZ","04013","24 years","24",25
,"Maricopa County, AZ","04013","25 years","25",20
,"Maricopa County, AZ","04013","26 years","26",26
,"Maricopa County, AZ","04013","27 years","27",27
,"Maricopa County, AZ","04013","28 years","28",25
,"Maricopa County, AZ","04013","29 years","29",34
,"Maricopa County, AZ","04013","30 years","30",27
,"Maricopa County, AZ","04013","31 years","31",27
,"Maricopa County, AZ","04013","32 years","32",34
,"Maricopa County, AZ","04013","33 years","33",33
,"Maricopa County, AZ","04013","34 years","34",26
,"Maricopa County, AZ","04013","35 years","35",24
,"Maricopa County, AZ","04013","36 years","36",30
,"Maricopa County, AZ","04013","37 years","37",29
,"Maricopa County, AZ","04013","38 years","38",20
,"Maricopa County, AZ","04013","39 years","39",21
,"Maricopa County, AZ","04013","40 years","40",21
,"Maricopa County, AZ","04013","41 years","41",15
,"Maricopa County, AZ","04013","42 years","42",18
,"Maricopa County, AZ","04013","43 years","43",20
,"Maricopa County, AZ","04013","44 years","44",19
,"Maricopa County, AZ","04013","45 years","45",19
,"Maricopa County, AZ","04013","46 years","46",13
,"Maricopa County, AZ","04013","47 years","47",18
,"Maricopa County, AZ","04013","48 years","48",15
,"Maricopa County, AZ","04013","49 years","49",15
,"Maricopa County, AZ","04013","50 years","50",22
