"Notes","County","County Code","Single-Year Ages","Single-Year Ages Code",Deaths
,"Baldwin County, AL","01003","36 years","36",10
,"Baldwin County, AL","01003","42 years","42",11
,"Baldwin County, AL","01003","43 years","43",11
,"Jefferson County, AL","01073","26 years","26",11
,"Jefferson County, AL","01073","27 years","27",10
,"Jefferson County, AL","01073","28 years","28",17
,"Jefferson County, AL","01073","29 years","29",16
,"Jefferson County, AL","01073","30 years","30",20
,"Jefferson County, AL","01073","31 years","31",16
,"Jefferson County, AL","01073","33 years","33",26
,"Jefferson County, AL","01073","34 years","34",24
,"Jefferson County, AL","01073","35 years","35",19
,"Jefferson County, AL","01073","36 years","36",21
,"Jefferson County, AL","01073","37 years","37",25
,"Jefferson County, AL","01073","38 years","38",18
,"Jefferson County, AL","01073","39 years","39",17
,"Jefferson County, AL","01073","40 years","40",17
,"Jefferson County, AL","01073","41 years","41",28
,"Jefferson County, AL","01073","42 years","42",39
,"Jefferson County, AL","01073","43 years","43",29
,"Jefferson County, AL","01073","44 years","44",18
,"Jefferson County, AL","01073","45 years","45",30
,"Jefferson County, AL","01073","46 years","46",17
,"Jefferson County, AL","01073","47 years","47",16
,"Jefferson County, AL","01073","48 years","48",20
,"Jefferson County, AL","01073","49 years","49",13
,"Jefferson County, AL","01073","50 years","50",19
,"Jefferson County, AL","01073","51 years","51",14
,"Jefferson County, AL","01073","52 years","52",17
,"Jefferson County, AL","01073","53 years","53",11
,"Jefferson County, AL","01073","54 years","54",14
,"Jefferson County, AL","01073","55 years","55",11
,"Jefferson County, AL","01073","56 years","56",11
,"Madison County, AL","01089","31 years","31",10
,"Madison County, AL","01089","41 years","41",12
,"Mobile County, AL","01097","33 years","33",11
,"Mobile County, AL","01097","34 years","34",10
,"Mobile County, AL","01097","37 years","37",10
,"Mobile County, AL","01097","40 years","40",10
,"Mobile County, AL","01097","42 years","42",14
,"Anchorage Borough, AK","02020","28 years","28",14
,"Anchorage Borough, AK","02020","29 years","29",10
,"Anchorage Borough, AK","02020","30 years","30",23
,"Anchorage Borough, AK","02020","31 years","31",18
,"Anchorage Borough, AK","02020","32 years","32",19
,"Anchorage Borough, AK","02020","33 years","33",18
,"Anchorage Borough, AK","02020","34 years","34",14
,"Anchorage Borough, AK","02020","35 years","35",18
,"Anchorage Borough, AK","02020","37 years","37",16
,"Anchorage Borough, AK","02020","38 years","38",18
,"Anchorage Borough, AK","02020","39 years","39",20
,"Anchorage Borough, AK","02020","40 years","40",14
,"Anchorage Borough, AK","02020","41 years","41",20
,"Anchorage Borough, AK","02020","42 years","42",11
,"Anchorage Borough, AK","02020","43 years","43",13
,"Anchorage Borough, AK","02020","44 years","44",15
,"Anchorage Borough, AK","02020","47 years","47",15
,"Anchorage Borough, AK","02020","49 years","49",10
,"Anchorage Borough, AK","02020","51 years","51",12
,"Anchorage Borough, AK","02020","52 years","52",12
,"Anchorage Borough, AK","02020","53 years","53",13
,"Anchorage Borough, AK","02020","57 years","57",12
,"Maricopa County, AZ","04013","19 years","19",22
,"Maricopa County, AZ","04013","20 years","20",25
,"Maricopa County, AZ","04013","21 years","21",21
,"Maricopa County, AZ","04013","22 years","22",34
,"Maricopa County, AZ","04013","23 years","23",51
,"Maricopa County, AZ","04013","24 years","24",70
,"Maricopa County, AZ","04013","25 years","25",56
,"Maricopa County, AZ","04013","26 years","26",81
,"Maricopa County, AZ","04013","27 years","27",77
,"Maricopa County, AZ","04013","28 years","28",101
,"Maricopa County, AZ","04013","29 years","29",115
,"Maricopa County, AZ","04013","30 years","30",105
,"Maricopa County, AZ","04013","31 years","31",132
,"Maricopa County, AZ","04013","32 years","32",117
,"Maricopa County, AZ","04013","33 years","33",114
,"Maricopa County, AZ","04013","34 years","34",106
,"Maricopa County, AZ","04013","35 years","35",142
,"Maricopa County, AZ","04013","36 years","36",134
,"Maricopa County, AZ","04013","37 years","37",132
,"Maricopa County, AZ","04013","38 years","38",109
,"Maricopa County, AZ","04013","39 years","39",121
,"Maricopa County, AZ","04013","40 years","40",127
,"Maricopa County, AZ","04013","41 years","41",123
,"Maricopa County, AZ","04013","42 years","42",123
,"Maricopa County, AZ","04013","43 years","43",113
,"Maricopa County, AZ","04013","44 years","44",108
,"Maricopa County, AZ","04013","45 years","45",98
,"Maricopa County, AZ","04013","46 years","46",91
,"Maricopa County, AZ","04013","47 years","47",112
,"Maricopa County, AZ","04013","48 years","48",102
,"Maricopa County, AZ","04013","49 years","49",126
,"Maricopa County, AZ","04013","50 years","50",120
,"Maricopa County, AZ","04013","51 years","51",143
,"Maricopa County, AZ","04013","52 years","52",118
,"Maricopa County, AZ","04013","53 years","53",119
,"Maricopa County, AZ","04013","54 years","54",147
,"Maricopa County, AZ","04013","55 years","55",122
,"Maricopa County, AZ","04013","56 years","56",127
,"Maricopa County, AZ","04013","57 years","57",112
,"Maricopa County, AZ","04013","58 years","58",125
,"Maricopa County, AZ","04013","59 years","59",108
,"Maricopa County, AZ","04013","60 years","60",106
,"Maricopa County, AZ","04013","61 years","61",98
,"Maricopa County, AZ","04013","62 years","62",79
,"Maricopa County, AZ","04013","63 years","63",86
,"Maricopa County, AZ","04013","64 years","64",74
,"Maricopa County, AZ","04013","65 years","65",72
,"Maricopa County, AZ","04013","66 years","66",43
,"Maricopa County, AZ","04013","67 years","67",47
,"Maricopa County, AZ","04013","68 years","68",37
,"Maricopa County, AZ","04013","69 years","69",27
,"Maricopa County, AZ","04013","70 years","70",13
,"Maricopa County, AZ","04013","71 years","71",13
,"Maricopa County, AZ","04013","72 years","72",18
,"Mohave County, AZ","04015","35 years","35",10
,"Mohave County, AZ","04015","52 years","52",10
,"Mohave County, AZ","04015","55 years","55",10
,"Navajo County, AZ","04017","33 years","33",12
,"Pima County, AZ","04019","22 years","22",14
,"Pima County, AZ","04019","24 years","24",14
,"Pima County, AZ","04019","25 years","25",16
,"Pima County, AZ","04019","26 years","26",21
,"Pima County, AZ","04019","27 years","27",16
,"Pima County, AZ","04019","28 years","28",11
,"Pima County, AZ","04019","29 years","29",24
,"Pima County, AZ","04019","30 years","30",17
,"Pima County, AZ","04019","31 years","31",29
,"Pima County, AZ","04019","32 years","32",26
,"Pima County, AZ","04019","33 years","33",37
,"Pima County, AZ","04019","34 years","34",28
,"Pima County, AZ","04019","35 years","35",23
,"Pima County, AZ","04019","36 years","36",25
,"Pima County, AZ","04019","37 years","37",33
,"Pima County, AZ","04019","38 years","38",35
,"Pima County, AZ","04019","39 years","39",32
,"Pima County, AZ","04019","40 years","40",25
,"Pima County, AZ","04019","41 years","41",25
,"Pima County, AZ","04019","42 years","42",26
,"Pima County, AZ","04019","43 years","43",32
,"Pima County, AZ","04019","44 years","44",31
,"Pima County, AZ","04019","45 years","45",30
,"Pima County, AZ","04019","46 years","46",28
,"Pima County, AZ","04019","47 years","47",30
,"Pima County, AZ","04019","48 years","48",33
,"Pima County, AZ","04019","49 years","49",21
,"Pima County, AZ","04019","50 years","50",21
,"Pima County, AZ","04019","51 years","51",41
,"Pima County, AZ","04019","52 years","52",31
,"Pima County, AZ","04019","53 years","53",28
,"Pima County, AZ","04019","54 years","54",27
,"Pima County, AZ","04019","55 years","55",33
,"Pima County, AZ","04019","56 years","56",40
,"Pima County, AZ","04019","57 years","57",36
,"Pima County, AZ","04019","58 years","58",33
,"Pima County, AZ","04019","59 years","59",35
,"Pima County, AZ","04019","60 years","60",28
,"Pima County, AZ","04019","61 years","61",33
,"Pima County, AZ","04019","62 years","62",29
,"Pima County, AZ","04019","63 years","63",25
,"Pima County, AZ","04019","64 years","64",22
,"Pima County, AZ","04019","65 years","65",18
,"Pima County, AZ","04019","66 years","66",16
,"Pima County, AZ","04019","67 years","67",13
,"Pima County, AZ","04019","68 years","68",12
,"Pima County, AZ","04019","69 years","69",11
,"Pinal County, AZ","04021","34 years","34",10
,"Pinal County, AZ","04021","35 years","35",10
,"Pinal County, AZ","04021","36 years","36",11
,"Pinal County, AZ","04021","37 years","37",13
,"Pinal County, AZ","04021","41 years","41",10
,"Pinal County, AZ","04021","46 years","46",10
,"Pinal County, AZ","04021","47 years","47",12
,"Pinal County, AZ","04021","50 years","50",10
,"Pinal County, AZ","04021","52 years","52",14
,"Pinal County, AZ","04021","54 years","54",13
,"Pulaski County, AR","05119","32 years","32",14
,"Pulaski County, AR","05119","33 years","33",14
,"Pulaski County, AR","05119","35 years","35",13
,"Alameda County, CA","06001","25 years","25",11
,"Alameda County, CA","06001","26 years","26",15
,"Alameda County, CA","06001","27 years","27",10
,"Alameda County, CA","06001","28 years","28",18
,"Alameda County, CA","06001","29 years","29",18
,"Alameda County, CA","06001","30 years","30",17
,"Alameda County, CA","06001","31 years","31",15
,"Alameda County, CA","06001","32 years","32",17
,"Alameda County, CA","06001","33 years","33",16
,"Alameda County, CA","06001","34 years","34",18
,"Alameda County, CA","06001","35 years","35",20
,"Alameda County, CA","06001","36 years","36",25
,"Alameda County, CA","06001","37 years","37",23
,"Alameda County, CA","06001","38 years","38",22
,"Alameda County, CA","06001","39 years","39",21
,"Alameda County, CA","06001","40 years","40",18
,"Alameda County, CA","06001","41 years","41",16
,"Alameda County, CA","06001","42 years","42",21
,"Alameda County, CA","06001","43 years","43",20
,"Alameda County, CA","06001","44 years","44",17
,"Alameda County, CA","06001","45 years","45",12
,"Alameda County, CA","06001","46 years","46",28
,"Alameda County, CA","06001","47 years","47",16
,"Alameda County, CA","06001","48 years","48",18
,"Alameda County, CA","06001","49 years","49",16
,"Alameda County, CA","06001","50 years","50",21
,"Alameda County, CA","06001","51 years","51",20
,"Alameda County, CA","06001","52 years","52",24
,"Alameda County, CA","06001","53 years","53",16
,"Alameda County, CA","06001","54 years","54",29
,"Alameda County, CA","06001","55 years","55",13
,"Alameda County, CA","06001","56 years","56",20
,"Alameda County, CA","06001","57 years","57",20
,"Alameda County, CA","06001","58 years","58",22
,"Alameda County, CA","06001","59 years","59",18
