"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Not Available","10","2020","2020",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2021","2021",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2018","2018",78,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2019","2019",71,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2020","2020",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Shelby County, AL","01117","Not Available","10","2018","2018",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2018","2018",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2019","2019",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2020","2020",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cochise County, AZ","04003","Not Available","10","2020","2020",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2021","2021",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2022","2022",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2018","2018",232,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2019","2019",160,Not Applicable,Not Applicable,Not Applicable,Not Applicable
