"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","9th through 12th grade with no diploma","2","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","9th through 12th grade with no diploma","2","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2022","2022",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2023","2023",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2024 ","2024",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Not Available","10","2020","2020",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","High school graduate or GED completed","3","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","High school graduate or GED completed","3","2023","2023",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Cullman County, AL","01043","High school graduate or GED completed","3","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Etowah County, AL","01055","High school graduate or GED completed","3","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Etowah County, AL","01055","High school graduate or GED completed","3","2023","2023",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Etowah County, AL","01055","High school graduate or GED completed","3","2024 ","2024",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","8th grade or less","1","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","8th grade or less","1","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","8th grade or less","1","2023","2023",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","8th grade or less","1","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2021","2021",50,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2022","2022",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2023","2023",53,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2024 ","2024",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2021","2021",152,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2022","2022",159,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2023","2023",175,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2024 ","2024",117,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2022","2022",38,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2023","2023",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2024 ","2024",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Associate degree (AA,AS)","5","2023","2023",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Associate degree (AA,AS)","5","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Bachelor?s degree (BA, AB, BS)","6","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Bachelor?s degree (BA, AB, BS)","6","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Bachelor?s degree (BA, AB, BS)","6","2023","2023",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Bachelor?s degree (BA, AB, BS)","6","2024 ","2024",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Unknown or Not Stated","9","2021","2021",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Unknown or Not Stated","9","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Unknown or Not Stated","9","2023","2023",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2018","2018",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2019","2019",87,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2020","2020",177,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Lauderdale County, AL","01077","High school graduate or GED completed","3","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
