"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, AL","01073","8th grade or less","1","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2021","2021",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2022","2022",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2023","2023",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2024 ","2024",19,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2021","2021",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2022","2022",73,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2023","2023",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2024 ","2024",49,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2021","2021",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2022","2022",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2024 ","2024",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2018","2018",42,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2019","2019",47,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2020","2020",60,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2022","2022",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2023","2023",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2024 ","2024",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","Not Available","10","2020","2020",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Montgomery County, AL","01101","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","High school graduate or GED completed","3","2024 ","2024",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Anchorage Borough, AK","02020","Not Available","10","2020","2020",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","8th grade or less","1","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2021","2021",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2022","2022",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2023","2023",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","9th through 12th grade with no diploma","2","2024 ","2024",28,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2021","2021",52,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2022","2022",70,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2023","2023",72,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","High school graduate or GED completed","3","2024 ","2024",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2021","2021",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2022","2022",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2023","2023",32,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Some college credit, but not a degree.","4","2024 ","2024",31,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Associate degree (AA,AS)","5","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Bachelor?s degree (BA, AB, BS)","6","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2018","2018",135,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2019","2019",108,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Maricopa County, AZ","04013","Not Available","10","2020","2020",115,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2022","2022",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","9th through 12th grade with no diploma","2","2023","2023",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2021","2021",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2022","2022",27,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2023","2023",23,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","High school graduate or GED completed","3","2024 ","2024",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Some college credit, but not a degree.","4","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2018","2018",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2019","2019",39,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pima County, AZ","04019","Not Available","10","2020","2020",54,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pulaski County, AR","05119","High school graduate or GED completed","3","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pulaski County, AR","05119","High school graduate or GED completed","3","2022","2022",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pulaski County, AR","05119","High school graduate or GED completed","3","2023","2023",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pulaski County, AR","05119","Not Available","10","2019","2019",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Pulaski County, AR","05119","Not Available","10","2020","2020",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","9th through 12th grade with no diploma","2","2023","2023",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","9th through 12th grade with no diploma","2","2024 ","2024",17,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2021","2021",26,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2022","2022",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2023","2023",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","High school graduate or GED completed","3","2024 ","2024",36,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2022","2022",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Some college credit, but not a degree.","4","2024 ","2024",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Unknown or Not Stated","9","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Not Available","10","2018","2018",33,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Not Available","10","2019","2019",43,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Alameda County, CA","06001","Not Available","10","2020","2020",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
