"Notes","County","County Code","Education","Education Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2021","2021",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2022","2022",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","High school graduate or GED completed","3","2023","2023",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Not Available","10","2019","2019",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Baldwin County, AL","01003","Not Available","10","2020","2020",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Calhoun County, AL","01015","High school graduate or GED completed","3","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"DeKalb County, AL","01049","Not Available","10","2020","2020",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Etowah County, AL","01055","High school graduate or GED completed","3","2024 ","2024",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2021","2021",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2022","2022",29,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2023","2023",18,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","9th through 12th grade with no diploma","2","2024 ","2024",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2021","2021",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2022","2022",61,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2023","2023",67,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","High school graduate or GED completed","3","2024 ","2024",63,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2021","2021",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2022","2022",13,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2023","2023",22,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Some college credit, but not a degree.","4","2024 ","2024",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Bachelor?s degree (BA, AB, BS)","6","2023","2023",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Unknown or Not Stated","9","2023","2023",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2018","2018",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2019","2019",55,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Jefferson County, AL","01073","Not Available","10","2020","2020",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","9th through 12th grade with no diploma","2","2021","2021",11,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","High school graduate or GED completed","3","2021","2021",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","High school graduate or GED completed","3","2022","2022",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Madison County, AL","01089","Not Available","10","2020","2020",20,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Marshall County, AL","01095","Not Available","10","2019","2019",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","9th through 12th grade with no diploma","2","2021","2021",12,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","9th through 12th grade with no diploma","2","2022","2022",10,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","9th through 12th grade with no diploma","2","2023","2023",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","9th through 12th grade with no diploma","2","2024 ","2024",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2021","2021",14,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2022","2022",30,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"Mobile County, AL","01097","High school graduate or GED completed","3","2023","2023",24,Not Applicable,Not Applicable,Not Applicable,Not Applicable
