"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","White","2106-3","2020","2020",12,200478,6.0,3.1,10.5
,"Jefferson County, AL","01073","Black or African American","2054-5","2018","2018",17,286501,5.9,3.5,9.5
,"Jefferson County, AL","01073","Black or African American","2054-5","2019","2019",15,286261,5.2,2.9,8.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2020","2020",15,286304,5.2,2.9,8.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2021","2021",15,292432,5.1,2.9,8.5
,"Jefferson County, AL","01073","White","2106-3","2018","2018",60,350457,17.1,13.1,22.0
,"Jefferson County, AL","01073","White","2106-3","2019","2019",54,349516,15.4,11.6,20.2
,"Jefferson County, AL","01073","White","2106-3","2020","2020",52,345894,15.0,11.2,19.7
,"Jefferson County, AL","01073","White","2106-3","2021","2021",43,351604,12.2,8.9,16.5
,"Jefferson County, AL","01073","White","2106-3","2022","2022",10,350423,2.9,1.4,5.2
,"Jefferson County, AL","01073","White","2106-3","2023","2023",10,350506,2.9,1.4,5.2
,"St. Clair County, AL","01115","White","2106-3","2021","2021",12,80389,14.9,7.7,26.1
,"Shelby County, AL","01117","White","2106-3","2018","2018",12,178681,6.7,3.5,11.7
,"Shelby County, AL","01117","White","2106-3","2021","2021",10,184994,5.4,2.6,9.9
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2021","2021",13,26655,48.8,26.0,83.4
,"Anchorage Borough, AK","02020","White","2106-3","2018","2018",11,186316,5.9,2.9,10.6
,"Anchorage Borough, AK","02020","White","2106-3","2021","2021",15,181000,8.3,4.6,13.7
,"Anchorage Borough, AK","02020","White","2106-3","2022","2022",13,177781,7.3,3.9,12.5
,"Matanuska-Susitna Borough, AK","02170","White","2106-3","2021","2021",11,90598,12.1,6.1,21.7
,"Cochise County, AZ","04003","White","2106-3","2020","2020",11,111482,9.9,4.9,17.7
,"Maricopa County, AZ","04013","White","2106-3","2018","2018",205,3663379,5.6,4.8,6.4
,"Maricopa County, AZ","04013","White","2106-3","2019","2019",141,3713896,3.8,3.2,4.4
,"Maricopa County, AZ","04013","White","2106-3","2020","2020",96,3769382,2.5,2.1,3.1
,"Maricopa County, AZ","04013","White","2106-3","2021","2021",55,3686444,1.5,1.1,1.9
,"Maricopa County, AZ","04013","White","2106-3","2022","2022",25,3717607,0.7,0.4,1.0
,"Maricopa County, AZ","04013","White","2106-3","2023","2023",25,3726222,0.7,0.4,1.0
,"Maricopa County, AZ","04013","White","2106-3","2024 ","2024",17,3764080,0.5,0.3,0.7
,"Maricopa County, AZ","04013","More than one race","M","2018","2018",14,132150,10.6,5.8,17.8
,"Pima County, AZ","04019","White","2106-3","2018","2018",66,882105,7.5,5.8,9.5
,"Pima County, AZ","04019","White","2106-3","2019","2019",64,888256,7.2,5.5,9.2
,"Pima County, AZ","04019","White","2106-3","2020","2020",61,897195,6.8,5.2,8.7
,"Pima County, AZ","04019","White","2106-3","2021","2021",26,887097,2.9,1.9,4.3
,"Pima County, AZ","04019","White","2106-3","2022","2022",15,890230,1.7,0.9,2.8
,"Pima County, AZ","04019","White","2106-3","2023","2023",11,891287,1.2,0.6,2.2
,"Pima County, AZ","04019","White","2106-3","2024 ","2024",11,899216,1.2,0.6,2.2
,"Pinal County, AZ","04021","White","2106-3","2018","2018",10,370360,2.7,1.3,5.0
,"Yavapai County, AZ","04025","White","2106-3","2019","2019",14,219278,6.4,3.5,10.7
,"Yavapai County, AZ","04025","White","2106-3","2020","2020",10,223682,4.5,2.1,8.2
,"Alameda County, CA","06001","Black or African American","2054-5","2021","2021",10,176233,5.7,2.7,10.4
,"Alameda County, CA","06001","Black or African American","2054-5","2022","2022",18,175067,10.3,6.1,16.2
,"Alameda County, CA","06001","Black or African American","2054-5","2024 ","2024",13,169854,7.7,4.1,13.1
,"Alameda County, CA","06001","White","2106-3","2019","2019",20,823593,2.4,1.5,3.8
,"Alameda County, CA","06001","White","2106-3","2020","2020",10,804234,1.2,0.6,2.3
,"Alameda County, CA","06001","White","2106-3","2022","2022",14,767660,1.8,1.0,3.1
,"Butte County, CA","06007","White","2106-3","2020","2020",11,181090,6.1,3.0,10.9
,"Butte County, CA","06007","White","2106-3","2021","2021",12,176639,6.8,3.5,11.9
,"Contra Costa County, CA","06013","White","2106-3","2018","2018",11,753341,1.5,0.7,2.6
,"Contra Costa County, CA","06013","White","2106-3","2019","2019",22,751283,2.9,1.8,4.4
,"Contra Costa County, CA","06013","White","2106-3","2020","2020",11,740033,1.5,0.7,2.7
,"Kern County, CA","06029","White","2106-3","2018","2018",17,738176,2.3,1.3,3.7
,"Kern County, CA","06029","White","2106-3","2019","2019",32,740959,4.3,3.0,6.1
,"Kern County, CA","06029","White","2106-3","2020","2020",46,737207,6.2,4.6,8.3
,"Kern County, CA","06029","White","2106-3","2021","2021",26,748959,3.5,2.3,5.1
,"Kern County, CA","06029","White","2106-3","2022","2022",16,746645,2.1,1.2,3.5
,"Los Angeles County, CA","06037","Black or African American","2054-5","2018","2018",19,906467,2.1,1.3,3.3
,"Los Angeles County, CA","06037","Black or African American","2054-5","2019","2019",23,899166,2.6,1.6,3.8
