"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","White","2106-3","2023","2023",10,221497,4.5,2.2,8.3
,"Jefferson County, AL","01073","Black or African American","2054-5","2021","2021",11,292432,3.8,1.9,6.7
,"Jefferson County, AL","01073","Black or African American","2054-5","2022","2022",12,290587,4.1,2.1,7.2
,"Jefferson County, AL","01073","Black or African American","2054-5","2023","2023",13,287448,4.5,2.4,7.7
,"Jefferson County, AL","01073","White","2106-3","2018","2018",14,350457,4.0,2.2,6.7
,"Jefferson County, AL","01073","White","2106-3","2019","2019",20,349516,5.7,3.5,8.8
,"Jefferson County, AL","01073","White","2106-3","2020","2020",18,345894,5.2,3.1,8.2
,"Jefferson County, AL","01073","White","2106-3","2021","2021",20,351604,5.7,3.5,8.8
,"Jefferson County, AL","01073","White","2106-3","2022","2022",13,350423,3.7,2.0,6.3
,"Marshall County, AL","01095","White","2106-3","2022","2022",10,91863,10.9,5.2,20.0
,"Mobile County, AL","01097","Black or African American","2054-5","2023","2023",10,151128,6.6,3.2,12.2
,"Mobile County, AL","01097","White","2106-3","2018","2018",11,244947,4.5,2.2,8.0
,"Mobile County, AL","01097","White","2106-3","2020","2020",10,242534,4.1,2.0,7.6
,"Mobile County, AL","01097","White","2106-3","2021","2021",11,241735,4.6,2.3,8.1
,"St. Clair County, AL","01115","White","2106-3","2021","2021",12,80389,14.9,7.7,26.1
,"Walker County, AL","01127","White","2106-3","2023","2023",12,58678,20.5,10.6,35.7
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2021","2021",10,26655,37.5,18.0,69.0
,"Anchorage Borough, AK","02020","White","2106-3","2021","2021",19,181000,10.5,6.3,16.4
,"Anchorage Borough, AK","02020","White","2106-3","2022","2022",16,177781,9.0,5.1,14.6
,"Anchorage Borough, AK","02020","White","2106-3","2024 ","2024",12,176953,6.8,3.5,11.8
,"Matanuska-Susitna Borough, AK","02170","White","2106-3","2021","2021",11,90598,12.1,6.1,21.7
,"Cochise County, AZ","04003","White","2106-3","2020","2020",10,111482,9.0,4.3,16.5
,"Coconino County, AZ","04005","White","2106-3","2021","2021",10,95056,10.5,5.0,19.3
,"Coconino County, AZ","04005","White","2106-3","2024 ","2024",11,95116,11.6,5.8,20.7
,"Maricopa County, AZ","04013","Black or African American","2054-5","2018","2018",13,275869,4.7,2.5,8.1
,"Maricopa County, AZ","04013","Black or African American","2054-5","2019","2019",20,286319,7.0,4.3,10.8
,"Maricopa County, AZ","04013","Black or African American","2054-5","2020","2020",16,300001,5.3,3.0,8.7
,"Maricopa County, AZ","04013","Black or African American","2054-5","2021","2021",13,300365,4.3,2.3,7.4
,"Maricopa County, AZ","04013","Black or African American","2054-5","2022","2022",11,310241,3.5,1.8,6.3
,"Maricopa County, AZ","04013","Black or African American","2054-5","2024 ","2024",12,332881,3.6,1.9,6.3
,"Maricopa County, AZ","04013","White","2106-3","2018","2018",195,3663379,5.3,4.6,6.1
,"Maricopa County, AZ","04013","White","2106-3","2019","2019",169,3713896,4.6,3.9,5.2
,"Maricopa County, AZ","04013","White","2106-3","2020","2020",177,3769382,4.7,4.0,5.4
,"Maricopa County, AZ","04013","White","2106-3","2021","2021",132,3686444,3.6,3.0,4.2
,"Maricopa County, AZ","04013","White","2106-3","2022","2022",110,3717607,3.0,2.4,3.5
,"Maricopa County, AZ","04013","White","2106-3","2023","2023",118,3726222,3.2,2.6,3.7
,"Maricopa County, AZ","04013","White","2106-3","2024 ","2024",107,3764080,2.8,2.3,3.4
,"Mohave County, AZ","04015","White","2106-3","2019","2019",14,194601,7.2,3.9,12.1
,"Mohave County, AZ","04015","White","2106-3","2024 ","2024",10,205248,4.9,2.3,9.0
,"Pima County, AZ","04019","White","2106-3","2018","2018",43,882105,4.9,3.5,6.6
,"Pima County, AZ","04019","White","2106-3","2019","2019",38,888256,4.3,3.0,5.9
,"Pima County, AZ","04019","White","2106-3","2020","2020",43,897195,4.8,3.5,6.5
,"Pima County, AZ","04019","White","2106-3","2021","2021",33,887097,3.7,2.6,5.2
,"Pima County, AZ","04019","White","2106-3","2022","2022",28,890230,3.1,2.1,4.5
,"Pima County, AZ","04019","White","2106-3","2023","2023",28,891287,3.1,2.1,4.5
,"Pima County, AZ","04019","White","2106-3","2024 ","2024",22,899216,2.4,1.5,3.7
