"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","White","2106-3","2022","2022",10,215369,4.6,2.2,8.5
,"Baldwin County, AL","01003","White","2106-3","2024 ","2024",10,228075,4.4,2.1,8.1
,"Jefferson County, AL","01073","Black or African American","2054-5","2018","2018",28,286501,9.8,6.5,14.1
,"Jefferson County, AL","01073","Black or African American","2054-5","2019","2019",28,286261,9.8,6.5,14.1
,"Jefferson County, AL","01073","Black or African American","2054-5","2020","2020",44,286304,15.4,11.2,20.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2021","2021",85,292432,29.1,23.2,35.9
,"Jefferson County, AL","01073","Black or African American","2054-5","2022","2022",99,290587,34.1,27.7,41.5
,"Jefferson County, AL","01073","Black or African American","2054-5","2023","2023",101,287448,35.1,28.3,42.0
,"Jefferson County, AL","01073","Black or African American","2054-5","2024 ","2024",63,286820,22.0,16.9,28.1
,"Jefferson County, AL","01073","White","2106-3","2018","2018",14,350457,4.0,2.2,6.7
,"Jefferson County, AL","01073","White","2106-3","2019","2019",19,349516,5.4,3.3,8.5
,"Jefferson County, AL","01073","White","2106-3","2020","2020",16,345894,4.6,2.6,7.5
,"Jefferson County, AL","01073","White","2106-3","2021","2021",25,351604,7.1,4.6,10.5
,"Jefferson County, AL","01073","White","2106-3","2022","2022",27,350423,7.7,5.1,11.2
,"Jefferson County, AL","01073","White","2106-3","2023","2023",28,350506,8.0,5.3,11.5
,"Jefferson County, AL","01073","White","2106-3","2024 ","2024",33,350931,9.4,6.5,13.2
,"Mobile County, AL","01097","Black or African American","2054-5","2020","2020",10,150417,6.6,3.2,12.2
,"Mobile County, AL","01097","Black or African American","2054-5","2021","2021",14,151087,9.3,5.1,15.5
,"Mobile County, AL","01097","Black or African American","2054-5","2022","2022",17,151017,11.3,6.6,18.0
,"Mobile County, AL","01097","Black or African American","2054-5","2023","2023",20,151128,13.2,8.1,20.4
,"Mobile County, AL","01097","Black or African American","2054-5","2024 ","2024",15,151706,9.9,5.5,16.3
