"Notes","County","County Code","Single Race 6","Single Race 6 Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","White","2106-3","2019","2019",12,195198,6.1,3.2,10.7
,"Baldwin County, AL","01003","White","2106-3","2020","2020",19,200478,9.5,5.7,14.8
,"Baldwin County, AL","01003","White","2106-3","2021","2021",42,209243,20.1,14.5,27.1
,"Baldwin County, AL","01003","White","2106-3","2022","2022",37,215369,17.2,12.1,23.7
,"Baldwin County, AL","01003","White","2106-3","2023","2023",29,221497,13.1,8.8,18.8
,"Baldwin County, AL","01003","White","2106-3","2024 ","2024",16,228075,7.0,4.0,11.4
,"Blount County, AL","01009","White","2106-3","2023","2023",12,56978,21.1,10.9,36.8
,"Calhoun County, AL","01015","White","2106-3","2021","2021",10,86590,11.5,5.5,21.2
,"Calhoun County, AL","01015","White","2106-3","2022","2022",20,85491,23.4,14.3,36.1
,"Calhoun County, AL","01015","White","2106-3","2023","2023",12,85762,14.0,7.2,24.4
,"Colbert County, AL","01033","White","2106-3","2023","2023",12,46860,25.6,13.2,44.7
,"Colbert County, AL","01033","White","2106-3","2024 ","2024",12,47089,25.5,13.2,44.5
,"Cullman County, AL","01043","White","2106-3","2021","2021",15,85692,17.5,9.8,28.9
,"Cullman County, AL","01043","White","2106-3","2022","2022",17,86805,19.6,11.4,31.4
,"Cullman County, AL","01043","White","2106-3","2023","2023",14,88049,15.9,8.7,26.7
,"Cullman County, AL","01043","White","2106-3","2024 ","2024",14,88406,15.8,8.7,26.6
,"DeKalb County, AL","01049","White","2106-3","2020","2020",11,66326,16.6,8.3,29.7
,"DeKalb County, AL","01049","White","2106-3","2023","2023",12,66827,18.0,9.3,31.4
,"DeKalb County, AL","01049","White","2106-3","2024 ","2024",10,67226,14.9,7.1,27.4
,"Etowah County, AL","01055","White","2106-3","2021","2021",16,82973,19.3,11.0,31.3
,"Etowah County, AL","01055","White","2106-3","2022","2022",15,83267,18.0,10.1,29.7
,"Etowah County, AL","01055","White","2106-3","2023","2023",12,83365,14.4,7.4,25.1
,"Etowah County, AL","01055","White","2106-3","2024 ","2024",21,83133,25.3,15.6,38.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2020","2020",15,286304,5.2,2.9,8.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2021","2021",25,292432,8.5,5.5,12.6
,"Jefferson County, AL","01073","Black or African American","2054-5","2022","2022",36,290587,12.4,8.7,17.2
,"Jefferson County, AL","01073","Black or African American","2054-5","2023","2023",43,287448,15.0,10.8,20.1
,"Jefferson County, AL","01073","Black or African American","2054-5","2024 ","2024",34,286820,11.9,8.2,16.6
,"Jefferson County, AL","01073","White","2106-3","2018","2018",30,350457,8.6,5.8,12.2
,"Jefferson County, AL","01073","White","2106-3","2019","2019",49,349516,14.0,10.4,18.5
,"Jefferson County, AL","01073","White","2106-3","2020","2020",63,345894,18.2,14.0,23.3
,"Jefferson County, AL","01073","White","2106-3","2021","2021",87,351604,24.7,19.8,30.5
,"Jefferson County, AL","01073","White","2106-3","2022","2022",92,350423,26.3,21.2,32.2
,"Jefferson County, AL","01073","White","2106-3","2023","2023",95,350506,27.1,21.9,33.1
,"Jefferson County, AL","01073","White","2106-3","2024 ","2024",75,350931,21.4,16.8,26.8
,"Lauderdale County, AL","01077","White","2106-3","2022","2022",10,82646,12.1,5.8,22.3
,"Lauderdale County, AL","01077","White","2106-3","2023","2023",10,83347,12.0,5.8,22.1
,"Lee County, AL","01081","White","2106-3","2023","2023",11,129171,8.5,4.3,15.2
,"Lee County, AL","01081","White","2106-3","2024 ","2024",11,131570,8.4,4.2,15.0
,"Madison County, AL","01089","Black or African American","2054-5","2021","2021",10,97954,10.2,4.9,18.8
,"Madison County, AL","01089","White","2106-3","2020","2020",17,261170,6.5,3.8,10.4
,"Madison County, AL","01089","White","2106-3","2021","2021",27,271884,9.9,6.5,14.4
,"Madison County, AL","01089","White","2106-3","2022","2022",21,275671,7.6,4.7,11.6
,"Madison County, AL","01089","White","2106-3","2023","2023",18,281401,6.4,3.8,10.1
,"Madison County, AL","01089","White","2106-3","2024 ","2024",17,287216,5.9,3.4,9.5
,"Marshall County, AL","01095","White","2106-3","2019","2019",10,89814,11.1,5.3,20.5
,"Marshall County, AL","01095","White","2106-3","2022","2022",15,91863,16.3,9.1,26.9
,"Marshall County, AL","01095","White","2106-3","2023","2023",13,92823,14.0,7.5,23.9
,"Mobile County, AL","01097","Black or African American","2054-5","2022","2022",11,151017,7.3,3.6,13.0
,"Mobile County, AL","01097","White","2106-3","2019","2019",11,243845,4.5,2.3,8.1
,"Mobile County, AL","01097","White","2106-3","2020","2020",15,242534,6.2,3.5,10.2
,"Mobile County, AL","01097","White","2106-3","2021","2021",24,241735,9.9,6.4,14.8
,"Mobile County, AL","01097","White","2106-3","2022","2022",38,239937,15.8,11.2,21.7
,"Mobile County, AL","01097","White","2106-3","2023","2023",40,239574,16.7,11.9,22.7
,"Mobile County, AL","01097","White","2106-3","2024 ","2024",47,238918,19.7,14.5,26.2
,"Montgomery County, AL","01101","White","2106-3","2022","2022",13,75717,17.2,9.1,29.4
,"Montgomery County, AL","01101","White","2106-3","2023","2023",12,75238,15.9,8.2,27.9
,"Morgan County, AL","01103","White","2106-3","2022","2022",12,101951,11.8,6.1,20.6
,"St. Clair County, AL","01115","White","2106-3","2020","2020",10,79039,12.7,6.1,23.3
,"St. Clair County, AL","01115","White","2106-3","2021","2021",18,80389,22.4,13.3,35.4
,"St. Clair County, AL","01115","White","2106-3","2022","2022",24,80969,29.6,19.0,44.1
,"St. Clair County, AL","01115","White","2106-3","2023","2023",22,81662,26.9,16.9,40.8
,"St. Clair County, AL","01115","White","2106-3","2024 ","2024",15,82559,18.2,10.2,30.0
,"Shelby County, AL","01117","White","2106-3","2019","2019",13,179689,7.2,3.9,12.4
,"Shelby County, AL","01117","White","2106-3","2020","2020",16,181626,8.8,5.0,14.3
,"Shelby County, AL","01117","White","2106-3","2021","2021",24,184994,13.0,8.3,19.3
,"Shelby County, AL","01117","White","2106-3","2022","2022",27,186538,14.5,9.5,21.1
,"Shelby County, AL","01117","White","2106-3","2023","2023",12,187990,6.4,3.3,11.2
,"Shelby County, AL","01117","White","2106-3","2024 ","2024",21,189060,11.1,6.9,17.0
,"Talladega County, AL","01121","White","2106-3","2021","2021",10,52124,19.2,9.2,35.3
,"Tuscaloosa County, AL","01125","White","2106-3","2019","2019",14,134441,10.4,5.7,17.5
,"Tuscaloosa County, AL","01125","White","2106-3","2020","2020",11,134348,8.2,4.1,14.7
,"Tuscaloosa County, AL","01125","White","2106-3","2021","2021",21,144457,14.5,9.0,22.2
,"Tuscaloosa County, AL","01125","White","2106-3","2022","2022",17,150820,11.3,6.6,18.0
,"Tuscaloosa County, AL","01125","White","2106-3","2023","2023",15,151248,9.9,5.6,16.4
,"Tuscaloosa County, AL","01125","White","2106-3","2024 ","2024",21,153303,13.7,8.5,20.9
,"Walker County, AL","01127","White","2106-3","2021","2021",11,58895,18.7,9.3,33.4
,"Walker County, AL","01127","White","2106-3","2022","2022",27,58384,46.2,30.5,67.3
,"Walker County, AL","01127","White","2106-3","2023","2023",30,58678,51.1,34.5,73.0
,"Walker County, AL","01127","White","2106-3","2024 ","2024",29,58975,49.2,32.9,70.6
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2019","2019",10,26179,38.2,18.3,70.2
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2020","2020",11,26200,42.0,21.0,75.1
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2021","2021",26,26655,97.5,63.7,142.9
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2022","2022",22,27398,80.3,50.3,121.6
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2023","2023",35,27711,126.3,88.0,175.7
,"Anchorage Borough, AK","02020","American Indian or Alaska Native","1002-5","2024 ","2024",45,28238,159.4,116.2,213.2
,"Anchorage Borough, AK","02020","White","2106-3","2018","2018",19,186316,10.2,6.1,15.9
,"Anchorage Borough, AK","02020","White","2106-3","2020","2020",19,181002,10.5,6.3,16.4
,"Anchorage Borough, AK","02020","White","2106-3","2021","2021",42,181000,23.2,16.7,31.4
