"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Male","M","2020","2020",11,111000,9.9,4.9,17.7
,"Jefferson County, AL","01073","Female","F","2018","2018",18,347709,5.2,3.1,8.2
,"Jefferson County, AL","01073","Female","F","2019","2019",20,347341,5.8,3.5,8.9
,"Jefferson County, AL","01073","Female","F","2020","2020",18,346110,5.2,3.1,8.2
,"Jefferson County, AL","01073","Female","F","2021","2021",16,350801,4.6,2.6,7.4
,"Jefferson County, AL","01073","Male","M","2018","2018",60,311591,19.3,14.7,24.8
,"Jefferson County, AL","01073","Male","M","2019","2019",51,311232,16.4,12.2,21.5
,"Jefferson County, AL","01073","Male","M","2020","2020",49,309232,15.8,11.7,20.9
,"Jefferson County, AL","01073","Male","M","2021","2021",42,317019,13.2,9.5,17.9
,"Jefferson County, AL","01073","Male","M","2022","2022",10,315909,3.2,1.5,5.8
,"Jefferson County, AL","01073","Male","M","2023","2023",11,314136,3.5,1.7,6.3
,"Shelby County, AL","01117","Male","M","2018","2018",10,104270,9.6,4.6,17.6
,"Anchorage Borough, AK","02020","Female","F","2021","2021",13,140620,9.2,4.9,15.8
,"Anchorage Borough, AK","02020","Male","M","2018","2018",10,148384,6.7,3.2,12.4
,"Anchorage Borough, AK","02020","Male","M","2019","2019",13,146468,8.9,4.7,15.2
,"Anchorage Borough, AK","02020","Male","M","2020","2020",10,146207,6.8,3.3,12.6
,"Anchorage Borough, AK","02020","Male","M","2021","2021",18,147501,12.2,7.2,19.3
,"Anchorage Borough, AK","02020","Male","M","2022","2022",20,147178,13.6,8.3,21.0
,"Matanuska-Susitna Borough, AK","02170","Male","M","2021","2021",12,57602,20.8,10.8,36.4
,"Maricopa County, AZ","04013","Female","F","2018","2018",46,2229106,2.1,1.5,2.8
,"Maricopa County, AZ","04013","Female","F","2019","2019",31,2268184,1.4,0.9,1.9
,"Maricopa County, AZ","04013","Female","F","2020","2020",21,2315645,0.9,0.6,1.4
,"Maricopa County, AZ","04013","Female","F","2021","2021",10,2261564,0.4,0.2,0.8
,"Maricopa County, AZ","04013","Male","M","2018","2018",186,2181718,8.5,7.3,9.8
,"Maricopa County, AZ","04013","Male","M","2019","2019",129,2217230,5.8,4.8,6.8
,"Maricopa County, AZ","04013","Male","M","2020","2020",83,2263436,3.7,2.9,4.5
,"Maricopa County, AZ","04013","Male","M","2021","2021",49,2235024,2.2,1.6,2.9
,"Maricopa County, AZ","04013","Male","M","2022","2022",22,2268611,1.0,0.6,1.5
,"Maricopa County, AZ","04013","Male","M","2023","2023",26,2280286,1.1,0.7,1.7
