"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, AL","01073","Female","F","2019","2019",12,347341,3.5,1.8,6.0
,"Jefferson County, AL","01073","Female","F","2021","2021",14,350801,4.0,2.2,6.7
,"Jefferson County, AL","01073","Male","M","2018","2018",15,311591,4.8,2.7,7.9
,"Jefferson County, AL","01073","Male","M","2019","2019",15,311232,4.8,2.7,7.9
,"Jefferson County, AL","01073","Male","M","2020","2020",18,309232,5.8,3.4,9.2
,"Jefferson County, AL","01073","Male","M","2021","2021",17,317019,5.4,3.1,8.6
,"Jefferson County, AL","01073","Male","M","2022","2022",17,315909,5.4,3.1,8.6
,"Jefferson County, AL","01073","Male","M","2023","2023",15,314136,4.8,2.7,7.9
,"Mobile County, AL","01097","Female","F","2023","2023",12,215078,5.6,2.9,9.7
,"Mobile County, AL","01097","Male","M","2018","2018",10,197077,5.1,2.4,9.3
,"Anchorage Borough, AK","02020","Female","F","2020","2020",10,140888,7.1,3.4,13.1
,"Anchorage Borough, AK","02020","Female","F","2021","2021",19,140620,13.5,8.1,21.1
,"Anchorage Borough, AK","02020","Male","M","2021","2021",17,147501,11.5,6.7,18.5
,"Anchorage Borough, AK","02020","Male","M","2022","2022",14,147178,9.5,5.2,16.0
,"Coconino County, AZ","04005","Male","M","2024 ","2024",10,71597,14.0,6.7,25.7
,"Maricopa County, AZ","04013","Female","F","2018","2018",99,2229106,4.4,3.6,5.4
,"Maricopa County, AZ","04013","Female","F","2019","2019",93,2268184,4.1,3.3,5.0
,"Maricopa County, AZ","04013","Female","F","2020","2020",74,2315645,3.2,2.5,4.0
,"Maricopa County, AZ","04013","Female","F","2021","2021",62,2261564,2.7,2.1,3.5
,"Maricopa County, AZ","04013","Female","F","2022","2022",44,2282913,1.9,1.4,2.6
,"Maricopa County, AZ","04013","Female","F","2023","2023",55,2305585,2.4,1.8,3.1
,"Maricopa County, AZ","04013","Female","F","2024 ","2024",56,2347368,2.4,1.8,3.1
,"Maricopa County, AZ","04013","Male","M","2018","2018",117,2181718,5.4,4.4,6.3
,"Maricopa County, AZ","04013","Male","M","2019","2019",111,2217230,5.0,4.1,5.9
,"Maricopa County, AZ","04013","Male","M","2020","2020",128,2263436,5.7,4.7,6.6
,"Maricopa County, AZ","04013","Male","M","2021","2021",88,2235024,3.9,3.2,4.9
,"Maricopa County, AZ","04013","Male","M","2022","2022",86,2268611,3.8,3.0,4.7
,"Maricopa County, AZ","04013","Male","M","2023","2023",74,2280286,3.2,2.5,4.1
,"Maricopa County, AZ","04013","Male","M","2024 ","2024",70,2325728,3.0,2.3,3.8
,"Pima County, AZ","04019","Female","F","2018","2018",17,527617,3.2,1.9,5.2
,"Pima County, AZ","04019","Female","F","2019","2019",12,531683,2.3,1.2,3.9
,"Pima County, AZ","04019","Female","F","2020","2020",24,539469,4.4,2.9,6.6
