"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Maricopa County, AZ","04013","Female","F","2018","2018",19,2229106,0.9,0.5,1.3
,"Maricopa County, AZ","04013","Female","F","2019","2019",18,2268184,0.8,0.5,1.3
,"Maricopa County, AZ","04013","Female","F","2020","2020",21,2315645,0.9,0.6,1.4
,"Maricopa County, AZ","04013","Female","F","2021","2021",16,2261564,0.7,0.4,1.1
,"Maricopa County, AZ","04013","Female","F","2022","2022",14,2282913,0.6,0.3,1.0
,"Maricopa County, AZ","04013","Female","F","2023","2023",10,2305585,0.4,0.2,0.8
,"Maricopa County, AZ","04013","Female","F","2024 ","2024",20,2347368,0.9,0.5,1.3
,"Maricopa County, AZ","04013","Male","M","2018","2018",23,2181718,1.1,0.7,1.6
,"Maricopa County, AZ","04013","Male","M","2019","2019",31,2217230,1.4,0.9,2.0
,"Maricopa County, AZ","04013","Male","M","2020","2020",30,2263436,1.3,0.9,1.9
,"Maricopa County, AZ","04013","Male","M","2021","2021",29,2235024,1.3,0.9,1.9
,"Maricopa County, AZ","04013","Male","M","2022","2022",30,2268611,1.3,0.9,1.9
,"Maricopa County, AZ","04013","Male","M","2023","2023",34,2280286,1.5,1.0,2.1
,"Maricopa County, AZ","04013","Male","M","2024 ","2024",35,2325728,1.5,1.0,2.1
,"Pima County, AZ","04019","Female","F","2021","2021",13,531776,2.4,1.3,4.2
,"Pima County, AZ","04019","Female","F","2024 ","2024",16,546073,2.9,1.7,4.8
,"Pima County, AZ","04019","Male","M","2019","2019",11,515596,2.1,1.1,3.8
,"Pima County, AZ","04019","Male","M","2022","2022",18,523349,3.4,2.0,5.4
,"Pima County, AZ","04019","Male","M","2023","2023",16,525252,3.0,1.7,4.9
,"Pima County, AZ","04019","Male","M","2024 ","2024",19,534076,3.6,2.1,5.6
,"Alameda County, CA","06001","Male","M","2024 ","2024",11,818318,1.3,0.7,2.4
,"Fresno County, CA","06019","Male","M","2023","2023",11,509699,2.2,1.1,3.9
,"Kern County, CA","06029","Male","M","2020","2020",13,460613,2.8,1.5,4.8
,"Kern County, CA","06029","Male","M","2021","2021",11,471601,2.3,1.2,4.2
,"Los Angeles County, CA","06037","Female","F","2018","2018",15,5123623,0.3,0.2,0.5
,"Los Angeles County, CA","06037","Female","F","2019","2019",12,5090066,0.2,0.1,0.4
,"Los Angeles County, CA","06037","Female","F","2020","2020",20,5041632,0.4,0.2,0.6
,"Los Angeles County, CA","06037","Male","M","2018","2018",21,4981895,0.4,0.3,0.6
,"Los Angeles County, CA","06037","Male","M","2019","2019",18,4949041,0.4,0.2,0.6
,"Los Angeles County, CA","06037","Male","M","2020","2020",24,4901414,0.5,0.3,0.7
,"Los Angeles County, CA","06037","Male","M","2021","2021",18,4870802,0.4,0.2,0.6
,"Los Angeles County, CA","06037","Male","M","2022","2022",10,4826280,0.2,0.1,0.4
,"Los Angeles County, CA","06037","Male","M","2023","2023",16,4780566,0.3,0.2,0.5
,"Orange County, CA","06059","Female","F","2021","2021",10,1596464,0.6,0.3,1.2
,"Orange County, CA","06059","Male","M","2018","2018",11,1572801,0.7,0.3,1.3
