"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Female","F","2021","2021",13,122872,10.6,5.6,18.1
,"Baldwin County, AL","01003","Female","F","2022","2022",17,126271,13.5,7.8,21.6
,"Baldwin County, AL","01003","Female","F","2023","2023",13,130010,10.0,5.3,17.1
,"Baldwin County, AL","01003","Male","M","2020","2020",21,111000,18.9,11.7,28.9
,"Baldwin County, AL","01003","Male","M","2021","2021",44,116422,37.8,27.5,50.7
,"Baldwin County, AL","01003","Male","M","2022","2022",35,120164,29.1,20.3,40.5
,"Baldwin County, AL","01003","Male","M","2023","2023",34,123497,27.5,19.1,38.5
,"Baldwin County, AL","01003","Male","M","2024 ","2024",25,127117,19.7,12.7,29.0
,"Blount County, AL","01009","Male","M","2023","2023",12,29756,40.3,20.8,70.4
,"Calhoun County, AL","01015","Female","F","2023","2023",14,60010,23.3,12.8,39.1
,"Calhoun County, AL","01015","Male","M","2022","2022",22,56321,39.1,24.5,59.1
,"Calhoun County, AL","01015","Male","M","2023","2023",26,56419,46.1,30.1,67.5
,"Calhoun County, AL","01015","Male","M","2024 ","2024",12,56310,21.3,11.0,37.2
,"Colbert County, AL","01033","Male","M","2023","2023",13,27995,46.4,24.7,79.4
,"Cullman County, AL","01043","Male","M","2021","2021",10,44471,22.5,10.8,41.4
,"Cullman County, AL","01043","Male","M","2022","2022",10,45264,22.1,10.6,40.6
,"Cullman County, AL","01043","Male","M","2023","2023",20,45821,43.6,26.7,67.4
,"Cullman County, AL","01043","Male","M","2024 ","2024",14,46152,30.3,16.6,50.9
,"Dallas County, AL","01047","Male","M","2022","2022",13,17169,75.7,40.3,129.5
,"DeKalb County, AL","01049","Male","M","2024 ","2024",10,36594,27.3,13.1,50.3
,"Etowah County, AL","01055","Female","F","2022","2022",11,52907,20.8,10.4,37.2
,"Etowah County, AL","01055","Female","F","2023","2023",12,53124,22.6,11.7,39.5
,"Etowah County, AL","01055","Male","M","2021","2021",13,50255,25.9,13.8,44.2
,"Etowah County, AL","01055","Male","M","2023","2023",16,50117,31.9,18.2,51.8
,"Etowah County, AL","01055","Male","M","2024 ","2024",20,50279,39.8,24.3,61.4
,"Jefferson County, AL","01073","Female","F","2018","2018",21,347709,6.0,3.7,9.2
,"Jefferson County, AL","01073","Female","F","2019","2019",31,347341,8.9,6.1,12.7
,"Jefferson County, AL","01073","Female","F","2020","2020",44,346110,12.7,9.2,17.1
,"Jefferson County, AL","01073","Female","F","2021","2021",91,350801,25.9,20.9,31.8
,"Jefferson County, AL","01073","Female","F","2022","2022",81,349500,23.2,18.4,28.8
,"Jefferson County, AL","01073","Female","F","2023","2023",98,348759,28.1,22.8,34.2
,"Jefferson County, AL","01073","Female","F","2024 ","2024",67,349573,19.2,14.9,24.3
,"Jefferson County, AL","01073","Male","M","2018","2018",42,311591,13.5,9.7,18.2
,"Jefferson County, AL","01073","Male","M","2019","2019",56,311232,18.0,13.6,23.4
,"Jefferson County, AL","01073","Male","M","2020","2020",133,309232,43.0,35.7,50.3
,"Jefferson County, AL","01073","Male","M","2021","2021",188,317019,59.3,50.8,67.8
,"Jefferson County, AL","01073","Male","M","2022","2022",221,315909,70.0,60.7,79.2
,"Jefferson County, AL","01073","Male","M","2023","2023",244,314136,77.7,67.9,87.4
,"Jefferson County, AL","01073","Male","M","2024 ","2024",168,315171,53.3,45.2,61.4
,"Lauderdale County, AL","01077","Female","F","2022","2022",10,49685,20.1,9.7,37.0
,"Lauderdale County, AL","01077","Male","M","2023","2023",12,46550,25.8,13.3,45.0
,"Lee County, AL","01081","Male","M","2022","2022",11,89202,12.3,6.2,22.1
,"Lee County, AL","01081","Male","M","2023","2023",17,90324,18.8,11.0,30.1
,"Madison County, AL","01089","Female","F","2020","2020",17,193759,8.8,5.1,14.0
,"Madison County, AL","01089","Female","F","2021","2021",34,200145,17.0,11.8,23.7
,"Madison County, AL","01089","Female","F","2022","2022",20,204274,9.8,6.0,15.1
,"Madison County, AL","01089","Female","F","2023","2023",22,209401,10.5,6.6,15.9
,"Madison County, AL","01089","Female","F","2024 ","2024",13,214609,6.1,3.2,10.4
,"Madison County, AL","01089","Male","M","2019","2019",14,182366,7.7,4.2,12.9
,"Madison County, AL","01089","Male","M","2020","2020",34,185694,18.3,12.7,25.6
,"Madison County, AL","01089","Male","M","2021","2021",67,195066,34.3,26.6,43.6
,"Madison County, AL","01089","Male","M","2022","2022",58,199291,29.1,22.1,37.6
,"Madison County, AL","01089","Male","M","2023","2023",59,203199,29.0,22.1,37.5
,"Madison County, AL","01089","Male","M","2024 ","2024",40,208746,19.2,13.7,26.1
,"Marshall County, AL","01095","Male","M","2021","2021",10,48603,20.6,9.9,37.8
,"Marshall County, AL","01095","Male","M","2022","2022",15,49239,30.5,17.1,50.2
,"Marshall County, AL","01095","Male","M","2023","2023",14,49950,28.0,15.3,47.0
,"Mobile County, AL","01097","Female","F","2021","2021",16,215909,7.4,4.2,12.0
,"Mobile County, AL","01097","Female","F","2022","2022",17,214515,7.9,4.6,12.7
,"Mobile County, AL","01097","Female","F","2023","2023",21,215078,9.8,6.0,14.9
,"Mobile County, AL","01097","Female","F","2024 ","2024",10,215782,4.6,2.2,8.5
,"Mobile County, AL","01097","Male","M","2019","2019",13,196374,6.6,3.5,11.3
,"Mobile County, AL","01097","Male","M","2020","2020",22,196061,11.2,7.0,17.0
,"Mobile County, AL","01097","Male","M","2021","2021",39,197164,19.8,14.1,27.0
,"Mobile County, AL","01097","Male","M","2022","2022",68,196896,34.5,26.8,43.8
,"Mobile County, AL","01097","Male","M","2023","2023",54,196562,27.5,20.6,35.8
,"Mobile County, AL","01097","Male","M","2024 ","2024",44,196557,22.4,16.3,30.1
,"Montgomery County, AL","01101","Female","F","2022","2022",11,119884,9.2,4.6,16.4
,"Montgomery County, AL","01101","Male","M","2020","2020",11,105575,10.4,5.2,18.6
,"Montgomery County, AL","01101","Male","M","2021","2021",12,107340,11.2,5.8,19.5
,"Montgomery County, AL","01101","Male","M","2022","2022",24,106477,22.5,14.4,33.5
,"Montgomery County, AL","01101","Male","M","2023","2023",20,105590,18.9,11.6,29.3
,"Montgomery County, AL","01101","Male","M","2024 ","2024",17,106149,16.0,9.3,25.6
,"Morgan County, AL","01103","Male","M","2021","2021",10,61113,16.4,7.8,30.1
,"Morgan County, AL","01103","Male","M","2022","2022",17,61554,27.6,16.1,44.2
,"Morgan County, AL","01103","Male","M","2023","2023",19,61986,30.7,18.5,47.9
,"Morgan County, AL","01103","Male","M","2024 ","2024",13,62755,20.7,11.0,35.4
,"Russell County, AL","01113","Male","M","2023","2023",10,27923,35.8,17.2,65.9
,"St. Clair County, AL","01115","Female","F","2022","2022",15,47289,31.7,17.8,52.3
,"St. Clair County, AL","01115","Male","M","2021","2021",26,46060,56.4,36.9,82.7
,"St. Clair County, AL","01115","Male","M","2022","2022",16,46643,34.3,19.6,55.7
,"St. Clair County, AL","01115","Male","M","2023","2023",25,47341,52.8,34.2,78.0
,"St. Clair County, AL","01115","Male","M","2024 ","2024",16,47777,33.5,19.1,54.4
,"Shelby County, AL","01117","Female","F","2021","2021",12,116704,10.3,5.3,18.0
,"Shelby County, AL","01117","Female","F","2022","2022",15,117906,12.7,7.1,21.0
