"Notes","County","County Code","Sex","Sex Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Male","M","2024 ","2024",12,127117,9.4,4.9,16.5
,"Jefferson County, AL","01073","Female","F","2018","2018",17,347709,4.9,2.8,7.8
,"Jefferson County, AL","01073","Female","F","2019","2019",16,347341,4.6,2.6,7.5
,"Jefferson County, AL","01073","Female","F","2020","2020",14,346110,4.0,2.2,6.8
,"Jefferson County, AL","01073","Female","F","2021","2021",42,350801,12.0,8.6,16.2
,"Jefferson County, AL","01073","Female","F","2022","2022",34,349500,9.7,6.7,13.6
,"Jefferson County, AL","01073","Female","F","2023","2023",34,348759,9.7,6.8,13.6
,"Jefferson County, AL","01073","Female","F","2024 ","2024",30,349573,8.6,5.8,12.3
,"Jefferson County, AL","01073","Male","M","2018","2018",25,311591,8.0,5.2,11.8
,"Jefferson County, AL","01073","Male","M","2019","2019",31,311232,10.0,6.8,14.1
,"Jefferson County, AL","01073","Male","M","2020","2020",46,309232,14.9,10.9,19.8
,"Jefferson County, AL","01073","Male","M","2021","2021",69,317019,21.8,16.9,27.5
,"Jefferson County, AL","01073","Male","M","2022","2022",94,315909,29.8,24.0,36.4
,"Jefferson County, AL","01073","Male","M","2023","2023",98,314136,31.2,25.3,38.0
,"Jefferson County, AL","01073","Male","M","2024 ","2024",66,315171,20.9,16.2,26.6
,"Madison County, AL","01089","Male","M","2021","2021",10,195066,5.1,2.5,9.4
,"Madison County, AL","01089","Male","M","2023","2023",11,203199,5.4,2.7,9.7
,"Mobile County, AL","01097","Male","M","2020","2020",11,196061,5.6,2.8,10.0
,"Mobile County, AL","01097","Male","M","2021","2021",14,197164,7.1,3.9,11.9
,"Mobile County, AL","01097","Male","M","2022","2022",19,196896,9.6,5.8,15.1
,"Mobile County, AL","01097","Male","M","2023","2023",21,196562,10.7,6.6,16.3
,"Mobile County, AL","01097","Male","M","2024 ","2024",21,196557,10.7,6.6,16.3
,"Montgomery County, AL","01101","Male","M","2023","2023",10,105590,9.5,4.5,17.4
,"Montgomery County, AL","01101","Male","M","2024 ","2024",11,106149,10.4,5.2,18.5
,"Anchorage Borough, AK","02020","Male","M","2020","2020",11,146207,7.5,3.8,13.5
,"Anchorage Borough, AK","02020","Male","M","2022","2022",10,147178,6.8,3.3,12.5
,"Anchorage Borough, AK","02020","Male","M","2023","2023",10,146316,6.8,3.3,12.6
,"Anchorage Borough, AK","02020","Male","M","2024 ","2024",18,148317,12.1,7.2,19.2
,"Maricopa County, AZ","04013","Female","F","2018","2018",29,2229106,1.3,0.9,1.9
,"Maricopa County, AZ","04013","Female","F","2019","2019",22,2268184,1.0,0.6,1.5
,"Maricopa County, AZ","04013","Female","F","2020","2020",26,2315645,1.1,0.7,1.6
,"Maricopa County, AZ","04013","Female","F","2021","2021",25,2261564,1.1,0.7,1.6
