"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Small Metro","4","2020","2020",12,229287,5.2,2.7,9.1
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",78,659300,11.8,9.4,14.8
,"Jefferson County, AL","01073","Large Fringe Metro","2","2019","2019",71,658573,10.8,8.4,13.6
,"Jefferson County, AL","01073","Large Fringe Metro","2","2020","2020",67,655342,10.2,7.9,13.0
,"Jefferson County, AL","01073","Large Fringe Metro","2","2021","2021",58,667820,8.7,6.6,11.2
,"Jefferson County, AL","01073","Large Fringe Metro","2","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"St. Clair County, AL","01115","Large Fringe Metro","2","2021","2021",12,92748,12.9,6.7,22.6
,"Shelby County, AL","01117","Large Fringe Metro","2","2018","2018",12,215707,5.6,2.9,9.7
,"Shelby County, AL","01117","Large Fringe Metro","2","2021","2021",11,226902,4.8,2.4,8.7
,"Anchorage Borough, AK","02020","Medium Metro","3","2018","2018",17,291538,5.8,3.4,9.3
,"Anchorage Borough, AK","02020","Medium Metro","3","2019","2019",18,288000,6.2,3.7,9.9
,"Anchorage Borough, AK","02020","Medium Metro","3","2020","2020",15,287095,5.2,2.9,8.6
,"Anchorage Borough, AK","02020","Medium Metro","3","2021","2021",31,288121,10.8,7.3,15.3
,"Anchorage Borough, AK","02020","Medium Metro","3","2022","2022",23,Not Available,Not Available,Not Available,Not Available
,"Matanuska-Susitna Borough, AK","02170","Medium Metro","3","2021","2021",13,110686,11.7,6.3,20.1
,"Cochise County, AZ","04003","Small Metro","4","2020","2020",11,127450,8.6,4.3,15.4
,"Maricopa County, AZ","04013","Large Central Metro","1","2018","2018",232,4410824,5.3,4.6,5.9
,"Maricopa County, AZ","04013","Large Central Metro","1","2019","2019",160,4485414,3.6,3.0,4.1
,"Maricopa County, AZ","04013","Large Central Metro","1","2020","2020",104,4579081,2.3,1.8,2.7
,"Maricopa County, AZ","04013","Large Central Metro","1","2021","2021",59,4496588,1.3,1.0,1.7
,"Maricopa County, AZ","04013","Large Central Metro","1","2022","2022",30,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2023","2023",30,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2018","2018",73,1039073,7.0,5.5,8.8
,"Pima County, AZ","04019","Large Central Metro","1","2019","2019",71,1047279,6.8,5.3,8.6
,"Pima County, AZ","04019","Large Central Metro","1","2020","2020",64,1061175,6.0,4.6,7.7
,"Pima County, AZ","04019","Large Central Metro","1","2021","2021",32,1052030,3.0,2.1,4.3
