"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Small Metro","4","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",23,659300,3.5,2.2,5.2
,"Jefferson County, AL","01073","Large Fringe Metro","2","2019","2019",27,658573,4.1,2.7,6.0
,"Jefferson County, AL","01073","Large Fringe Metro","2","2020","2020",26,655342,4.0,2.6,5.8
,"Jefferson County, AL","01073","Large Fringe Metro","2","2021","2021",31,667820,4.6,3.2,6.6
,"Jefferson County, AL","01073","Large Fringe Metro","2","2022","2022",25,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Marshall County, AL","01095","Micropolitan (Nonmetro)","5","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2018","2018",14,413757,3.4,1.8,5.7
,"Mobile County, AL","01097","Medium Metro","3","2020","2020",11,412716,2.7,1.3,4.8
,"Mobile County, AL","01097","Medium Metro","3","2021","2021",14,413073,3.4,1.9,5.7
,"Mobile County, AL","01097","Medium Metro","3","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"St. Clair County, AL","01115","Large Fringe Metro","2","2021","2021",12,92748,12.9,6.7,22.6
,"Shelby County, AL","01117","Large Fringe Metro","2","2019","2019",10,217702,4.6,2.2,8.4
,"Walker County, AL","01127","Large Fringe Metro","2","2022","2022",10,Not Available,Not Available,Not Available,Not Available
,"Walker County, AL","01127","Large Fringe Metro","2","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2018","2018",16,291538,5.5,3.1,8.9
,"Anchorage Borough, AK","02020","Medium Metro","3","2019","2019",16,288000,5.6,3.2,9.0
,"Anchorage Borough, AK","02020","Medium Metro","3","2020","2020",17,287095,5.9,3.4,9.5
,"Anchorage Borough, AK","02020","Medium Metro","3","2021","2021",36,288121,12.5,8.8,17.3
,"Anchorage Borough, AK","02020","Medium Metro","3","2022","2022",23,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2024 ","2024",13,Not Available,Not Available,Not Available,Not Available
,"Matanuska-Susitna Borough, AK","02170","Medium Metro","3","2020","2020",10,110213,9.1,4.4,16.7
,"Matanuska-Susitna Borough, AK","02170","Medium Metro","3","2021","2021",13,110686,11.7,6.3,20.1
,"Cochise County, AZ","04003","Small Metro","4","2020","2020",10,127450,7.8,3.8,14.4
,"Coconino County, AZ","04005","Small Metro","4","2021","2021",10,145052,6.9,3.3,12.7
,"Coconino County, AZ","04005","Small Metro","4","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2018","2018",216,4410824,4.9,4.2,5.6
,"Maricopa County, AZ","04013","Large Central Metro","1","2019","2019",204,4485414,4.5,3.9,5.2
,"Maricopa County, AZ","04013","Large Central Metro","1","2020","2020",202,4579081,4.4,3.8,5.0
,"Maricopa County, AZ","04013","Large Central Metro","1","2021","2021",150,4496588,3.3,2.8,3.9
,"Maricopa County, AZ","04013","Large Central Metro","1","2022","2022",130,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2023","2023",129,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2024 ","2024",126,Not Available,Not Available,Not Available,Not Available
,"Mohave County, AZ","04015","Small Metro","4","2019","2019",14,212181,6.6,3.6,11.1
,"Mohave County, AZ","04015","Small Metro","4","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2018","2018",44,1039073,4.2,3.1,5.7
,"Pima County, AZ","04019","Large Central Metro","1","2019","2019",43,1047279,4.1,3.0,5.5
,"Pima County, AZ","04019","Large Central Metro","1","2020","2020",47,1061175,4.4,3.3,5.9
,"Pima County, AZ","04019","Large Central Metro","1","2021","2021",37,1052030,3.5,2.5,4.8
,"Pima County, AZ","04019","Large Central Metro","1","2022","2022",33,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2023","2023",30,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2024 ","2024",28,Not Available,Not Available,Not Available,Not Available
,"Pinal County, AZ","04021","Large Fringe Metro","2","2018","2018",16,447138,3.6,2.0,5.8
,"Pinal County, AZ","04021","Large Fringe Metro","2","2019","2019",12,462789,2.6,1.3,4.5
,"Pinal County, AZ","04021","Large Fringe Metro","2","2020","2020",14,480828,2.9,1.6,4.9
,"Pinal County, AZ","04021","Large Fringe Metro","2","2021","2021",15,449557,3.3,1.9,5.5
,"Pinal County, AZ","04021","Large Fringe Metro","2","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Yavapai County, AZ","04025","Small Metro","4","2018","2018",12,231993,5.2,2.7,9.0
,"Yavapai County, AZ","04025","Small Metro","4","2019","2019",23,235099,9.8,6.2,14.7
,"Yavapai County, AZ","04025","Small Metro","4","2020","2020",19,240226,7.9,4.8,12.4
