"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",10,659300,1.5,0.7,2.8
,"Anchorage Borough, AK","02020","Medium Metro","3","2021","2021",10,288121,3.5,1.7,6.4
,"Maricopa County, AZ","04013","Large Central Metro","1","2018","2018",42,4410824,1.0,0.7,1.3
,"Maricopa County, AZ","04013","Large Central Metro","1","2019","2019",49,4485414,1.1,0.8,1.4
,"Maricopa County, AZ","04013","Large Central Metro","1","2020","2020",51,4579081,1.1,0.8,1.5
,"Maricopa County, AZ","04013","Large Central Metro","1","2021","2021",45,4496588,1.0,0.7,1.3
,"Maricopa County, AZ","04013","Large Central Metro","1","2022","2022",44,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2023","2023",44,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2024 ","2024",55,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2018","2018",16,1039073,1.5,0.9,2.5
,"Pima County, AZ","04019","Large Central Metro","1","2019","2019",17,1047279,1.6,0.9,2.6
,"Pima County, AZ","04019","Large Central Metro","1","2020","2020",15,1061175,1.4,0.8,2.3
,"Pima County, AZ","04019","Large Central Metro","1","2021","2021",22,1052030,2.1,1.3,3.2
,"Pima County, AZ","04019","Large Central Metro","1","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2023","2023",24,Not Available,Not Available,Not Available,Not Available
,"Pima County, AZ","04019","Large Central Metro","1","2024 ","2024",35,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2018","2018",10,1666753,0.6,0.3,1.1
,"Alameda County, CA","06001","Large Central Metro","1","2021","2021",15,1648556,0.9,0.5,1.5
,"Alameda County, CA","06001","Large Central Metro","1","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Alameda County, CA","06001","Large Central Metro","1","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Contra Costa County, CA","06013","Large Fringe Metro","2","2018","2018",12,1150215,1.0,0.5,1.8
,"Fresno County, CA","06019","Large Central Metro","1","2018","2018",10,994400,1.0,0.5,1.8
,"Fresno County, CA","06019","Large Central Metro","1","2022","2022",12,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Fresno County, CA","06019","Large Central Metro","1","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"Kern County, CA","06029","Medium Metro","3","2018","2018",11,896764,1.2,0.6,2.2
,"Kern County, CA","06029","Medium Metro","3","2019","2019",12,900202,1.3,0.7,2.3
