"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Small Metro","4","2020","2020",27,229287,11.8,7.8,17.1
,"Baldwin County, AL","01003","Small Metro","4","2021","2021",57,239294,23.8,18.0,30.9
,"Baldwin County, AL","01003","Small Metro","4","2022","2022",52,Not Available,Not Available,Not Available,Not Available
,"Baldwin County, AL","01003","Small Metro","4","2023","2023",47,Not Available,Not Available,Not Available,Not Available
,"Baldwin County, AL","01003","Small Metro","4","2024 ","2024",33,Not Available,Not Available,Not Available,Not Available
,"Blount County, AL","01009","Large Fringe Metro","2","2023","2023",17,Not Available,Not Available,Not Available,Not Available
,"Calhoun County, AL","01015","Small Metro","4","2021","2021",10,115972,8.6,4.1,15.9
,"Calhoun County, AL","01015","Small Metro","4","2022","2022",30,Not Available,Not Available,Not Available,Not Available
,"Calhoun County, AL","01015","Small Metro","4","2023","2023",40,Not Available,Not Available,Not Available,Not Available
,"Calhoun County, AL","01015","Small Metro","4","2024 ","2024",17,Not Available,Not Available,Not Available,Not Available
,"Colbert County, AL","01033","Small Metro","4","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Colbert County, AL","01033","Small Metro","4","2024 ","2024",13,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2021","2021",16,89496,17.9,10.2,29.0
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2022","2022",16,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2024 ","2024",18,Not Available,Not Available,Not Available,Not Available
,"Dallas County, AL","01047","Micropolitan (Nonmetro)","5","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"DeKalb County, AL","01049","Micropolitan (Nonmetro)","5","2023","2023",10,Not Available,Not Available,Not Available,Not Available
,"DeKalb County, AL","01049","Micropolitan (Nonmetro)","5","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Elmore County, AL","01051","Medium Metro","3","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2021","2021",17,103162,16.5,9.6,26.4
,"Etowah County, AL","01055","Small Metro","4","2022","2022",19,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2023","2023",28,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2024 ","2024",27,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",63,659300,9.6,7.3,12.2
,"Jefferson County, AL","01073","Large Fringe Metro","2","2019","2019",87,658573,13.2,10.6,16.3
,"Jefferson County, AL","01073","Large Fringe Metro","2","2020","2020",177,655342,27.0,23.0,31.0
,"Jefferson County, AL","01073","Large Fringe Metro","2","2021","2021",279,667820,41.8,36.9,46.7
,"Jefferson County, AL","01073","Large Fringe Metro","2","2022","2022",302,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2023","2023",342,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2024 ","2024",235,Not Available,Not Available,Not Available,Not Available
,"Lauderdale County, AL","01077","Small Metro","4","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Lauderdale County, AL","01077","Small Metro","4","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Lauderdale County, AL","01077","Small Metro","4","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Lee County, AL","01081","Small Metro","4","2021","2021",10,177218,5.6,2.7,10.4
,"Lee County, AL","01081","Small Metro","4","2022","2022",13,Not Available,Not Available,Not Available,Not Available
,"Lee County, AL","01081","Small Metro","4","2023","2023",20,Not Available,Not Available,Not Available,Not Available
