"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Small Metro","4","2021","2021",10,239294,4.2,2.0,7.7
,"Baldwin County, AL","01003","Small Metro","4","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Baldwin County, AL","01003","Small Metro","4","2024 ","2024",14,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",42,659300,6.4,4.6,8.6
,"Jefferson County, AL","01073","Large Fringe Metro","2","2019","2019",47,658573,7.1,5.2,9.5
,"Jefferson County, AL","01073","Large Fringe Metro","2","2020","2020",60,655342,9.2,7.0,11.8
,"Jefferson County, AL","01073","Large Fringe Metro","2","2021","2021",111,667820,16.6,13.5,19.7
,"Jefferson County, AL","01073","Large Fringe Metro","2","2022","2022",128,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2023","2023",132,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2024 ","2024",96,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2021","2021",12,395211,3.0,1.6,5.3
,"Madison County, AL","01089","Medium Metro","3","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2020","2020",18,412716,4.4,2.6,6.9
,"Mobile County, AL","01097","Medium Metro","3","2021","2021",21,413073,5.1,3.1,7.8
,"Mobile County, AL","01097","Medium Metro","3","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2023","2023",29,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2024 ","2024",24,Not Available,Not Available,Not Available,Not Available
,"Montgomery County, AL","01101","Medium Metro","3","2020","2020",10,224639,4.5,2.1,8.2
,"Montgomery County, AL","01101","Medium Metro","3","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Montgomery County, AL","01101","Medium Metro","3","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Shelby County, AL","01117","Large Fringe Metro","2","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Tuscaloosa County, AL","01125","Medium Metro","3","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2020","2020",13,287095,4.5,2.4,7.7
,"Anchorage Borough, AK","02020","Medium Metro","3","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2023","2023",19,Not Available,Not Available,Not Available,Not Available
,"Anchorage Borough, AK","02020","Medium Metro","3","2024 ","2024",24,Not Available,Not Available,Not Available,Not Available
,"Maricopa County, AZ","04013","Large Central Metro","1","2018","2018",135,4410824,3.1,2.5,3.6
,"Maricopa County, AZ","04013","Large Central Metro","1","2019","2019",108,4485414,2.4,2.0,2.9
,"Maricopa County, AZ","04013","Large Central Metro","1","2020","2020",115,4579081,2.5,2.1,3.0
,"Maricopa County, AZ","04013","Large Central Metro","1","2021","2021",125,4496588,2.8,2.3,3.3
