"Notes","County","County Code","2023 Urbanization","2023 Urbanization Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","Small Metro","4","2019","2019",12,223234,5.4,2.8,9.4
,"Baldwin County, AL","01003","Small Metro","4","2020","2020",22,229287,9.6,6.0,14.5
,"Baldwin County, AL","01003","Small Metro","4","2021","2021",42,239294,17.6,12.6,23.7
,"Baldwin County, AL","01003","Small Metro","4","2022","2022",40,Not Available,Not Available,Not Available,Not Available
,"Baldwin County, AL","01003","Small Metro","4","2023","2023",34,Not Available,Not Available,Not Available,Not Available
,"Baldwin County, AL","01003","Small Metro","4","2024 ","2024",19,Not Available,Not Available,Not Available,Not Available
,"Blount County, AL","01009","Large Fringe Metro","2","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"Calhoun County, AL","01015","Small Metro","4","2021","2021",11,115972,9.5,4.7,17.0
,"Calhoun County, AL","01015","Small Metro","4","2022","2022",25,Not Available,Not Available,Not Available,Not Available
,"Calhoun County, AL","01015","Small Metro","4","2023","2023",17,Not Available,Not Available,Not Available,Not Available
,"Colbert County, AL","01033","Small Metro","4","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Colbert County, AL","01033","Small Metro","4","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2021","2021",15,89496,16.8,9.4,27.6
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2022","2022",17,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2023","2023",15,Not Available,Not Available,Not Available,Not Available
,"Cullman County, AL","01043","Micropolitan (Nonmetro)","5","2024 ","2024",15,Not Available,Not Available,Not Available,Not Available
,"DeKalb County, AL","01049","Micropolitan (Nonmetro)","5","2020","2020",11,71658,15.4,7.7,27.5
,"DeKalb County, AL","01049","Micropolitan (Nonmetro)","5","2023","2023",12,Not Available,Not Available,Not Available,Not Available
,"DeKalb County, AL","01049","Micropolitan (Nonmetro)","5","2024 ","2024",10,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2021","2021",16,103162,15.5,8.9,25.2
,"Etowah County, AL","01055","Small Metro","4","2022","2022",18,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2023","2023",14,Not Available,Not Available,Not Available,Not Available
,"Etowah County, AL","01055","Small Metro","4","2024 ","2024",23,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2018","2018",35,659300,5.3,3.7,7.4
,"Jefferson County, AL","01073","Large Fringe Metro","2","2019","2019",55,658573,8.4,6.3,10.9
,"Jefferson County, AL","01073","Large Fringe Metro","2","2020","2020",79,655342,12.1,9.5,15.0
,"Jefferson County, AL","01073","Large Fringe Metro","2","2021","2021",113,667820,16.9,13.8,20.0
,"Jefferson County, AL","01073","Large Fringe Metro","2","2022","2022",129,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2023","2023",141,Not Available,Not Available,Not Available,Not Available
,"Jefferson County, AL","01073","Large Fringe Metro","2","2024 ","2024",110,Not Available,Not Available,Not Available,Not Available
,"Lauderdale County, AL","01077","Small Metro","4","2022","2022",11,Not Available,Not Available,Not Available,Not Available
,"Lauderdale County, AL","01077","Small Metro","4","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Lee County, AL","01081","Small Metro","4","2023","2023",11,Not Available,Not Available,Not Available,Not Available
,"Lee County, AL","01081","Small Metro","4","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2020","2020",20,379453,5.3,3.2,8.1
,"Madison County, AL","01089","Medium Metro","3","2021","2021",37,395211,9.4,6.6,12.9
,"Madison County, AL","01089","Medium Metro","3","2022","2022",28,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2023","2023",22,Not Available,Not Available,Not Available,Not Available
,"Madison County, AL","01089","Medium Metro","3","2024 ","2024",18,Not Available,Not Available,Not Available,Not Available
,"Marshall County, AL","01095","Micropolitan (Nonmetro)","5","2019","2019",10,96774,10.3,5.0,19.0
,"Marshall County, AL","01095","Micropolitan (Nonmetro)","5","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Marshall County, AL","01095","Micropolitan (Nonmetro)","5","2023","2023",13,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2018","2018",10,413757,2.4,1.2,4.4
,"Mobile County, AL","01097","Medium Metro","3","2019","2019",12,413210,2.9,1.5,5.1
,"Mobile County, AL","01097","Medium Metro","3","2020","2020",18,412716,4.4,2.6,6.9
,"Mobile County, AL","01097","Medium Metro","3","2021","2021",31,413073,7.5,5.1,10.7
,"Mobile County, AL","01097","Medium Metro","3","2022","2022",49,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2023","2023",49,Not Available,Not Available,Not Available,Not Available
,"Mobile County, AL","01097","Medium Metro","3","2024 ","2024",55,Not Available,Not Available,Not Available,Not Available
,"Montgomery County, AL","01101","Medium Metro","3","2021","2021",11,227434,4.8,2.4,8.7
,"Montgomery County, AL","01101","Medium Metro","3","2022","2022",15,Not Available,Not Available,Not Available,Not Available
,"Montgomery County, AL","01101","Medium Metro","3","2023","2023",18,Not Available,Not Available,Not Available,Not Available
,"Montgomery County, AL","01101","Medium Metro","3","2024 ","2024",12,Not Available,Not Available,Not Available,Not Available
,"Morgan County, AL","01103","Small Metro","4","2021","2021",11,123668,8.9,4.4,15.9
,"Morgan County, AL","01103","Small Metro","4","2022","2022",13,Not Available,Not Available,Not Available,Not Available
