"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Jefferson County, AL","01073","2018","2018",10,659300,1.5,0.7,2.8
,"Anchorage Borough, AK","02020","2021","2021",10,288121,3.5,1.7,6.4
,"Maricopa County, AZ","04013","2018","2018",42,4410824,1.0,0.7,1.3
,"Maricopa County, AZ","04013","2019","2019",49,4485414,1.1,0.8,1.4
,"Maricopa County, AZ","04013","2020","2020",51,4579081,1.1,0.8,1.5
,"Maricopa County, AZ","04013","2021","2021",45,4496588,1.0,0.7,1.3
,"Maricopa County, AZ","04013","2022","2022",44,4551524,1.0,0.7,1.3
,"Maricopa County, AZ","04013","2023","2023",44,4585871,1.0,0.7,1.3
,"Maricopa County, AZ","04013","2024 ","2024",55,4673096,1.2,0.9,1.5
,"Pima County, AZ","04019","2018","2018",16,1039073,1.5,0.9,2.5
,"Pima County, AZ","04019","2019","2019",17,1047279,1.6,0.9,2.6
,"Pima County, AZ","04019","2020","2020",15,1061175,1.4,0.8,2.3
,"Pima County, AZ","04019","2021","2021",22,1052030,2.1,1.3,3.2
,"Pima County, AZ","04019","2022","2022",24,1057597,2.3,1.5,3.4
,"Pima County, AZ","04019","2023","2023",24,1063162,2.3,1.4,3.4
,"Pima County, AZ","04019","2024 ","2024",35,1080149,3.2,2.3,4.5
,"Alameda County, CA","06001","2018","2018",10,1666753,0.6,0.3,1.1
,"Alameda County, CA","06001","2021","2021",15,1648556,0.9,0.5,1.5
,"Alameda County, CA","06001","2022","2022",11,1628997,0.7,0.3,1.2
,"Alameda County, CA","06001","2023","2023",11,1622188,0.7,0.3,1.2
,"Alameda County, CA","06001","2024 ","2024",17,1649060,1.0,0.6,1.7
,"Contra Costa County, CA","06013","2018","2018",12,1150215,1.0,0.5,1.8
,"Fresno County, CA","06019","2018","2018",10,994400,1.0,0.5,1.8
,"Fresno County, CA","06019","2022","2022",12,1015190,1.2,0.6,2.1
,"Fresno County, CA","06019","2023","2023",15,1017162,1.5,0.8,2.4
,"Fresno County, CA","06019","2024 ","2024",15,1024125,1.5,0.8,2.4
,"Kern County, CA","06029","2018","2018",11,896764,1.2,0.6,2.2
,"Kern County, CA","06029","2019","2019",12,900202,1.3,0.7,2.3
,"Kern County, CA","06029","2020","2020",22,901362,2.4,1.5,3.7
,"Kern County, CA","06029","2021","2021",14,917673,1.5,0.8,2.6
,"Kern County, CA","06029","2022","2022",15,916108,1.6,0.9,2.7
,"Kern County, CA","06029","2023","2023",10,913820,1.1,0.5,2.0
,"Los Angeles County, CA","06037","2018","2018",36,10105518,0.4,0.2,0.5
,"Los Angeles County, CA","06037","2019","2019",30,10039107,0.3,0.2,0.4
,"Los Angeles County, CA","06037","2020","2020",44,9943046,0.4,0.3,0.6
,"Los Angeles County, CA","06037","2021","2021",23,9829544,0.2,0.1,0.4
,"Los Angeles County, CA","06037","2022","2022",16,9721138,0.2,0.1,0.3
,"Los Angeles County, CA","06037","2023","2023",20,9663345,0.2,0.1,0.3
,"Orange County, CA","06059","2018","2018",16,3185968,0.5,0.3,0.8
,"Orange County, CA","06059","2019","2019",15,3175692,0.5,0.3,0.8
,"Orange County, CA","06059","2020","2020",25,3166857,0.8,0.5,1.2
,"Orange County, CA","06059","2021","2021",27,3167809,0.9,0.6,1.2
,"Orange County, CA","06059","2022","2022",15,3151184,0.5,0.3,0.8
,"Orange County, CA","06059","2023","2023",15,3135755,0.5,0.3,0.8
,"Orange County, CA","06059","2024 ","2024",18,3170435,0.6,0.3,0.9
,"Riverside County, CA","06065","2020","2020",10,2489188,0.4,0.2,0.7
,"Riverside County, CA","06065","2022","2022",10,2473902,0.4,0.2,0.7
,"Riverside County, CA","06065","2024 ","2024",11,2529933,0.4,0.2,0.8
,"Sacramento County, CA","06067","2019","2019",17,1552058,1.1,0.6,1.8
,"Sacramento County, CA","06067","2020","2020",12,1559146,0.8,0.4,1.3
,"Sacramento County, CA","06067","2021","2021",16,1588921,1.0,0.6,1.6
,"Sacramento County, CA","06067","2022","2022",21,1584169,1.3,0.8,2.0
,"Sacramento County, CA","06067","2023","2023",14,1584288,0.9,0.5,1.5
,"Sacramento County, CA","06067","2024 ","2024",17,1611231,1.1,0.6,1.7
,"San Diego County, CA","06073","2018","2018",23,3343364,0.7,0.4,1.0
,"San Diego County, CA","06073","2019","2019",13,3338330,0.4,0.2,0.7
,"San Diego County, CA","06073","2020","2020",26,3332427,0.8,0.5,1.1
,"San Diego County, CA","06073","2021","2021",29,3286069,0.9,0.6,1.3
,"San Diego County, CA","06073","2022","2022",18,3276208,0.5,0.3,0.9
,"San Diego County, CA","06073","2023","2023",14,3269973,0.4,0.2,0.7
,"San Diego County, CA","06073","2024 ","2024",17,3298799,0.5,0.3,0.8
,"San Francisco County, CA","06075","2018","2018",24,883305,2.7,1.7,4.0
,"San Francisco County, CA","06075","2019","2019",24,881549,2.7,1.7,4.1
,"San Francisco County, CA","06075","2020","2020",27,866606,3.1,2.1,4.5
,"San Francisco County, CA","06075","2021","2021",23,815201,2.8,1.8,4.2
,"San Francisco County, CA","06075","2022","2022",28,808437,3.5,2.3,5.0
,"San Francisco County, CA","06075","2023","2023",22,808988,2.7,1.7,4.1
,"San Francisco County, CA","06075","2024 ","2024",15,827526,1.8,1.0,3.0
,"San Joaquin County, CA","06077","2018","2018",10,752660,1.3,0.6,2.4
,"San Joaquin County, CA","06077","2023","2023",10,800965,1.2,0.6,2.3
,"Ventura County, CA","06111","2018","2018",11,850967,1.3,0.6,2.3
,"Ventura County, CA","06111","2023","2023",11,829590,1.3,0.7,2.4
,"Denver County, CO","08031","2018","2018",11,716492,1.5,0.8,2.7
,"Denver County, CO","08031","2020","2020",19,735538,2.6,1.6,4.0
,"Denver County, CO","08031","2021","2021",16,711463,2.2,1.3,3.7
,"Denver County, CO","08031","2022","2022",15,713252,2.1,1.2,3.5
,"Denver County, CO","08031","2024 ","2024",21,729019,2.9,1.8,4.4
,"El Paso County, CO","08041","2020","2020",12,728310,1.6,0.9,2.9
,"El Paso County, CO","08041","2022","2022",13,740567,1.8,0.9,3.0
,"El Paso County, CO","08041","2023","2023",13,744215,1.7,0.9,3.0
,"El Paso County, CO","08041","2024 ","2024",17,752772,2.3,1.3,3.6
,"Jefferson County, CO","08059","2018","2018",12,580233,2.1,1.1,3.6
,"Fairfield County, CT","09001","2018","2018",24,943823,2.5,1.6,3.8
,"Fairfield County, CT","09001","2019","2019",19,943332,2.0,1.2,3.1
,"Fairfield County, CT","09001","2020","2020",24,942426,2.5,1.6,3.8
,"Fairfield County, CT","09001","2021","2021",29,959768,3.0,2.0,4.3
,"Fairfield County, CT","09001","2022","2022",24,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","2023","2023",37,Not Available,Not Available,Not Available,Not Available
,"Fairfield County, CT","09001","2024 ","2024",23,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","2018","2018",15,892697,1.7,0.9,2.8
,"Hartford County, CT","09003","2020","2020",23,889226,2.6,1.6,3.9
,"Hartford County, CT","09003","2021","2021",24,896854,2.7,1.7,4.0
,"Hartford County, CT","09003","2022","2022",31,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","2023","2023",30,Not Available,Not Available,Not Available,Not Available
,"Hartford County, CT","09003","2024 ","2024",30,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","2018","2018",21,857620,2.4,1.5,3.7
,"New Haven County, CT","09009","2019","2019",39,854757,4.6,3.2,6.2
,"New Haven County, CT","09009","2020","2020",34,851948,4.0,2.8,5.6
,"New Haven County, CT","09009","2021","2021",44,863700,5.1,3.7,6.8
,"New Haven County, CT","09009","2022","2022",51,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","2023","2023",41,Not Available,Not Available,Not Available,Not Available
,"New Haven County, CT","09009","2024 ","2024",45,Not Available,Not Available,Not Available,Not Available
,"New London County, CT","09011","2020","2020",13,264999,4.9,2.6,8.4
,"New Castle County, DE","10003","2018","2018",12,559335,2.1,1.1,3.7
,"New Castle County, DE","10003","2019","2019",17,558753,3.0,1.8,4.9
,"New Castle County, DE","10003","2020","2020",20,561531,3.6,2.2,5.5
,"New Castle County, DE","10003","2021","2021",29,571708,5.1,3.4,7.3
,"New Castle County, DE","10003","2022","2022",14,575494,2.4,1.3,4.1
,"New Castle County, DE","10003","2023","2023",28,578592,4.8,3.2,7.0
,"New Castle County, DE","10003","2024 ","2024",21,588093,3.6,2.2,5.5
,"Sussex County, DE","10005","2020","2020",11,241635,4.6,2.3,8.1
,"Sussex County, DE","10005","2022","2022",14,255956,5.5,3.0,9.2
,"District of Columbia, DC","11001","2018","2018",10,702455,1.4,0.7,2.6
,"District of Columbia, DC","11001","2019","2019",15,705749,2.1,1.2,3.5
,"District of Columbia, DC","11001","2020","2020",30,712816,4.2,2.8,6.0
,"District of Columbia, DC","11001","2021","2021",22,670050,3.3,2.1,5.0
,"District of Columbia, DC","11001","2022","2022",21,671803,3.1,1.9,4.8
,"District of Columbia, DC","11001","2023","2023",14,678972,2.1,1.1,3.5
,"District of Columbia, DC","11001","2024 ","2024",16,702250,2.3,1.3,3.7
,"Brevard County, FL","12009","2018","2018",14,596849,2.3,1.3,3.9
,"Broward County, FL","12011","2020","2020",11,1958105,0.6,0.3,1.0
,"Broward County, FL","12011","2022","2022",10,1947026,0.5,0.2,0.9
,"Duval County, FL","12031","2018","2018",13,950181,1.4,0.7,2.3
,"Duval County, FL","12031","2019","2019",14,957755,1.5,0.8,2.5
,"Duval County, FL","12031","2020","2020",23,966728,2.4,1.5,3.6
,"Duval County, FL","12031","2021","2021",19,999935,1.9,1.1,3.0
,"Duval County, FL","12031","2022","2022",18,1016536,1.8,1.0,2.8
,"Duval County, FL","12031","2023","2023",13,1030822,1.3,0.7,2.2
,"Duval County, FL","12031","2024 ","2024",15,1055159,1.4,0.8,2.3
,"Hillsborough County, FL","12057","2018","2018",16,1436888,1.1,0.6,1.8
,"Hillsborough County, FL","12057","2019","2019",12,1471968,0.8,0.4,1.4
,"Hillsborough County, FL","12057","2020","2020",13,1497957,0.9,0.5,1.5
,"Hillsborough County, FL","12057","2021","2021",18,1478194,1.2,0.7,1.9
,"Hillsborough County, FL","12057","2022","2022",15,1513301,1.0,0.6,1.6
,"Hillsborough County, FL","12057","2023","2023",16,1535564,1.0,0.6,1.7
,"Hillsborough County, FL","12057","2024 ","2024",12,1581426,0.8,0.4,1.3
,"Orange County, FL","12095","2018","2018",12,1380645,0.9,0.4,1.5
,"Orange County, FL","12095","2022","2022",10,1452726,0.7,0.3,1.3
,"Orange County, FL","12095","2023","2023",13,1471416,0.9,0.5,1.5
,"Palm Beach County, FL","12099","2020","2020",12,1507600,0.8,0.4,1.4
,"Palm Beach County, FL","12099","2021","2021",14,1497987,0.9,0.5,1.6
,"Palm Beach County, FL","12099","2022","2022",12,1518477,0.8,0.4,1.4
,"Pinellas County, FL","12103","2018","2018",14,975280,1.4,0.8,2.4
,"Volusia County, FL","12127","2021","2021",10,564412,1.8,0.8,3.3
,"Volusia County, FL","12127","2024 ","2024",10,602772,1.7,0.8,3.1
,"Cobb County, GA","13067","2021","2021",10,766802,1.3,0.6,2.4
,"Fulton County, GA","13121","2022","2022",10,1074634,0.9,0.4,1.7
,"Cook County, IL","17031","2018","2018",79,5180493,1.5,1.2,1.9
,"Cook County, IL","17031","2019","2019",91,5150233,1.8,1.4,2.2
,"Cook County, IL","17031","2020","2020",157,5108284,3.1,2.6,3.6
,"Cook County, IL","17031","2021","2021",111,5173146,2.1,1.7,2.5
,"Cook County, IL","17031","2022","2022",106,5109292,2.1,1.7,2.5
,"Cook County, IL","17031","2023","2023",99,5087072,1.9,1.6,2.4
,"Cook County, IL","17031","2024 ","2024",82,5182617,1.6,1.3,2.0
,"Lake County, IN","18089","2018","2018",10,484411,2.1,1.0,3.8
,"Lake County, IN","18089","2019","2019",15,485493,3.1,1.7,5.1
,"Marion County, IN","18097","2020","2020",11,966183,1.1,0.6,2.0
,"Marion County, IN","18097","2021","2021",13,971102,1.3,0.7,2.3
,"Marion County, IN","18097","2022","2022",15,969466,1.5,0.9,2.6
,"Marion County, IN","18097","2023","2023",12,968460,1.2,0.6,2.2
,"Marion County, IN","18097","2024 ","2024",17,981628,1.7,1.0,2.8
,"Sedgwick County, KS","20173","2019","2019",11,516042,2.1,1.1,3.8
,"Sedgwick County, KS","20173","2023","2023",10,528469,1.9,0.9,3.5
,"Jefferson County, KY","21111","2023","2023",10,772144,1.3,0.6,2.4
,"Jefferson Parish, LA","22051","2021","2021",11,433688,2.5,1.3,4.5
,"Anne Arundel County, MD","24003","2018","2018",11,576031,1.9,1.0,3.4
,"Anne Arundel County, MD","24003","2019","2019",14,579234,2.4,1.3,4.1
,"Anne Arundel County, MD","24003","2020","2020",16,582777,2.7,1.6,4.5
,"Anne Arundel County, MD","24003","2021","2021",25,590336,4.2,2.7,6.3
,"Anne Arundel County, MD","24003","2022","2022",17,593286,2.9,1.7,4.6
,"Anne Arundel County, MD","24003","2023","2023",16,594582,2.7,1.5,4.4
,"Anne Arundel County, MD","24003","2024 ","2024",19,602350,3.2,1.9,4.9
,"Baltimore County, MD","24005","2018","2018",42,828431,5.1,3.7,6.9
,"Baltimore County, MD","24005","2019","2019",39,827370,4.7,3.4,6.4
,"Baltimore County, MD","24005","2020","2020",48,826017,5.8,4.3,7.7
,"Baltimore County, MD","24005","2021","2021",47,849316,5.5,4.1,7.4
,"Baltimore County, MD","24005","2022","2022",33,846161,3.9,2.7,5.5
,"Baltimore County, MD","24005","2023","2023",31,844703,3.7,2.5,5.2
,"Baltimore County, MD","24005","2024 ","2024",34,852425,4.0,2.8,5.6
,"Carroll County, MD","24013","2021","2021",12,173873,6.9,3.6,12.1
,"Cecil County, MD","24015","2022","2022",11,104942,10.5,5.2,18.8
,"Harford County, MD","24025","2018","2018",13,253956,5.1,2.7,8.8
,"Harford County, MD","24025","2019","2019",10,255441,3.9,1.9,7.2
,"Harford County, MD","24025","2020","2020",15,256805,5.8,3.3,9.6
,"Harford County, MD","24025","2021","2021",13,262977,4.9,2.6,8.5
,"Harford County, MD","24025","2022","2022",18,263867,6.8,4.0,10.8
,"Harford County, MD","24025","2023","2023",15,264644,5.7,3.2,9.3
,"Washington County, MD","24043","2020","2020",10,151146,6.6,3.2,12.2
,"Washington County, MD","24043","2024 ","2024",13,157228,8.3,4.4,14.1
,"Baltimore city, MD","24510","2018","2018",73,602495,12.1,9.5,15.2
,"Baltimore city, MD","24510","2019","2019",75,593490,12.6,9.9,15.8
,"Baltimore city, MD","24510","2020","2020",111,586131,18.9,15.4,22.5
,"Baltimore city, MD","24510","2021","2021",123,576498,21.3,17.6,25.1
,"Baltimore city, MD","24510","2022","2022",95,569931,16.7,13.5,20.4
,"Baltimore city, MD","24510","2023","2023",82,565239,14.5,11.5,18.0
,"Baltimore city, MD","24510","2024 ","2024",104,568271,18.3,14.8,21.8
,"Bristol County, MA","25005","2018","2018",11,564022,2.0,1.0,3.5
,"Bristol County, MA","25005","2019","2019",11,565217,1.9,1.0,3.5
,"Bristol County, MA","25005","2021","2021",23,580164,4.0,2.5,5.9
,"Bristol County, MA","25005","2022","2022",17,580068,2.9,1.7,4.7
,"Bristol County, MA","25005","2023","2023",26,581841,4.5,2.9,6.5
,"Bristol County, MA","25005","2024 ","2024",20,588593,3.4,2.1,5.2
,"Essex County, MA","25009","2018","2018",11,790638,1.4,0.7,2.5
,"Essex County, MA","25009","2020","2020",21,791263,2.7,1.6,4.1
,"Essex County, MA","25009","2021","2021",18,807074,2.2,1.3,3.5
,"Essex County, MA","25009","2022","2022",10,806765,1.2,0.6,2.3
,"Essex County, MA","25009","2023","2023",16,810089,2.0,1.1,3.2
