"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","2020","2020",27,229287,11.8,7.8,17.1
,"Baldwin County, AL","01003","2021","2021",57,239294,23.8,18.0,30.9
,"Baldwin County, AL","01003","2022","2022",52,246435,21.1,15.8,27.7
,"Baldwin County, AL","01003","2023","2023",47,253507,18.5,13.6,24.7
,"Baldwin County, AL","01003","2024 ","2024",33,261608,12.6,8.7,17.7
,"Blount County, AL","01009","2023","2023",17,59816,28.4,16.6,45.5
,"Calhoun County, AL","01015","2021","2021",10,115972,8.6,4.1,15.9
,"Calhoun County, AL","01015","2022","2022",30,115788,25.9,17.5,37.0
,"Calhoun County, AL","01015","2023","2023",40,116429,34.4,24.5,46.8
,"Calhoun County, AL","01015","2024 ","2024",17,116427,14.6,8.5,23.4
,"Colbert County, AL","01033","2023","2023",14,58361,24.0,13.1,40.2
,"Colbert County, AL","01033","2024 ","2024",13,58785,22.1,11.8,37.8
,"Cullman County, AL","01043","2021","2021",16,89496,17.9,10.2,29.0
,"Cullman County, AL","01043","2022","2022",16,90665,17.6,10.1,28.7
,"Cullman County, AL","01043","2023","2023",22,92016,23.9,15.0,36.2
,"Cullman County, AL","01043","2024 ","2024",18,92604,19.4,11.5,30.7
,"Dallas County, AL","01047","2022","2022",13,36767,35.4,18.8,60.5
,"DeKalb County, AL","01049","2023","2023",10,72569,13.8,6.6,25.3
,"DeKalb County, AL","01049","2024 ","2024",12,73122,16.4,8.5,28.7
,"Elmore County, AL","01051","2023","2023",11,90441,12.2,6.1,21.8
,"Etowah County, AL","01055","2021","2021",17,103162,16.5,9.6,26.4
,"Etowah County, AL","01055","2022","2022",19,103088,18.4,11.1,28.8
,"Etowah County, AL","01055","2023","2023",28,103241,27.1,18.0,39.2
,"Etowah County, AL","01055","2024 ","2024",27,103207,26.2,17.2,38.1
,"Jefferson County, AL","01073","2018","2018",63,659300,9.6,7.3,12.2
,"Jefferson County, AL","01073","2019","2019",87,658573,13.2,10.6,16.3
,"Jefferson County, AL","01073","2020","2020",177,655342,27.0,23.0,31.0
,"Jefferson County, AL","01073","2021","2021",279,667820,41.8,36.9,46.7
,"Jefferson County, AL","01073","2022","2022",302,665409,45.4,40.3,50.5
,"Jefferson County, AL","01073","2023","2023",342,662895,51.6,46.1,57.1
,"Jefferson County, AL","01073","2024 ","2024",235,664744,35.4,30.8,39.9
,"Lauderdale County, AL","01077","2022","2022",18,95878,18.8,11.1,29.7
,"Lauderdale County, AL","01077","2023","2023",19,96814,19.6,11.8,30.6
,"Lauderdale County, AL","01077","2024 ","2024",10,97502,10.3,4.9,18.9
,"Lee County, AL","01081","2021","2021",10,177218,5.6,2.7,10.4
,"Lee County, AL","01081","2022","2022",13,180773,7.2,3.8,12.3
,"Lee County, AL","01081","2023","2023",20,183215,10.9,6.7,16.9
,"Lee County, AL","01081","2024 ","2024",10,187847,5.3,2.6,9.8
,"Limestone County, AL","01083","2024 ","2024",11,118942,9.2,4.6,16.5
,"Madison County, AL","01089","2019","2019",19,372909,5.1,3.1,8.0
,"Madison County, AL","01089","2020","2020",51,379453,13.4,10.0,17.7
,"Madison County, AL","01089","2021","2021",101,395211,25.6,20.6,30.5
,"Madison County, AL","01089","2022","2022",78,403565,19.3,15.3,24.1
,"Madison County, AL","01089","2023","2023",81,412600,19.6,15.6,24.4
,"Madison County, AL","01089","2024 ","2024",53,423355,12.5,9.4,16.4
,"Marshall County, AL","01095","2021","2021",14,98228,14.3,7.8,23.9
,"Marshall County, AL","01095","2022","2022",20,99423,20.1,12.3,31.1
,"Marshall County, AL","01095","2023","2023",15,100756,14.9,8.3,24.6
,"Marshall County, AL","01095","2024 ","2024",10,102156,9.8,4.7,18.0
,"Mobile County, AL","01097","2018","2018",13,413757,3.1,1.7,5.4
,"Mobile County, AL","01097","2019","2019",14,413210,3.4,1.9,5.7
,"Mobile County, AL","01097","2020","2020",29,412716,7.0,4.7,10.1
,"Mobile County, AL","01097","2021","2021",55,413073,13.3,10.0,17.3
,"Mobile County, AL","01097","2022","2022",85,411411,20.7,16.5,25.5
,"Mobile County, AL","01097","2023","2023",75,411640,18.2,14.3,22.8
,"Mobile County, AL","01097","2024 ","2024",54,412339,13.1,9.8,17.1
,"Montgomery County, AL","01101","2020","2020",16,224639,7.1,4.1,11.6
,"Montgomery County, AL","01101","2021","2021",19,227434,8.4,5.0,13.0
,"Montgomery County, AL","01101","2022","2022",35,226361,15.5,10.8,21.5
,"Montgomery County, AL","01101","2023","2023",25,224980,11.1,7.2,16.4
,"Montgomery County, AL","01101","2024 ","2024",24,225894,10.6,6.8,15.8
,"Morgan County, AL","01103","2021","2021",13,123668,10.5,5.6,18.0
,"Morgan County, AL","01103","2022","2022",26,124211,20.9,13.7,30.7
,"Morgan County, AL","01103","2023","2023",27,125133,21.6,14.2,31.4
,"Morgan County, AL","01103","2024 ","2024",15,126084,11.9,6.7,19.6
,"Russell County, AL","01113","2023","2023",15,58744,25.5,14.3,42.1
,"St. Clair County, AL","01115","2020","2020",11,90739,12.1,6.1,21.7
,"St. Clair County, AL","01115","2021","2021",32,92748,34.5,23.6,48.7
,"St. Clair County, AL","01115","2022","2022",31,93932,33.0,22.4,46.8
,"St. Clair County, AL","01115","2023","2023",31,95552,32.4,22.0,46.1
,"St. Clair County, AL","01115","2024 ","2024",19,96927,19.6,11.8,30.6
,"Shelby County, AL","01117","2018","2018",10,215707,4.6,2.2,8.5
,"Shelby County, AL","01117","2019","2019",12,217702,5.5,2.8,9.6
,"Shelby County, AL","01117","2020","2020",13,221428,5.9,3.1,10.0
,"Shelby County, AL","01117","2021","2021",45,226902,19.8,14.5,26.5
,"Shelby County, AL","01117","2022","2022",40,230115,17.4,12.4,23.7
,"Shelby County, AL","01117","2023","2023",35,233000,15.0,10.5,20.9
,"Shelby County, AL","01117","2024 ","2024",26,235969,11.0,7.2,16.1
,"Talladega County, AL","01121","2021","2021",12,81524,14.7,7.6,25.7
,"Talladega County, AL","01121","2023","2023",15,81132,18.5,10.3,30.5
,"Tuscaloosa County, AL","01125","2020","2020",18,210758,8.5,5.1,13.5
,"Tuscaloosa County, AL","01125","2021","2021",31,227007,13.7,9.3,19.4
,"Tuscaloosa County, AL","01125","2022","2022",29,236780,12.2,8.2,17.6
,"Tuscaloosa County, AL","01125","2023","2023",28,237373,11.8,7.8,17.0
,"Tuscaloosa County, AL","01125","2024 ","2024",22,241212,9.1,5.7,13.8
,"Walker County, AL","01127","2021","2021",12,64818,18.5,9.6,32.3
,"Walker County, AL","01127","2022","2022",32,64339,49.7,34.0,70.2
,"Walker County, AL","01127","2023","2023",40,64728,61.8,44.1,84.2
,"Walker County, AL","01127","2024 ","2024",32,65260,49.0,33.5,69.2
,"Winston County, AL","01133","2023","2023",10,23611,42.4,20.3,77.9
,"Anchorage Borough, AK","02020","2019","2019",10,288000,3.5,1.7,6.4
,"Anchorage Borough, AK","02020","2020","2020",46,287095,16.0,11.7,21.4
,"Anchorage Borough, AK","02020","2021","2021",84,288121,29.2,23.3,36.1
,"Anchorage Borough, AK","02020","2022","2022",87,287145,30.3,24.3,37.4
,"Anchorage Borough, AK","02020","2023","2023",171,286075,59.8,50.8,68.7
,"Anchorage Borough, AK","02020","2024 ","2024",162,289600,55.9,47.3,64.6
,"Fairbanks North Star Borough, AK","02090","2022","2022",13,95356,13.6,7.3,23.3
,"Fairbanks North Star Borough, AK","02090","2023","2023",10,94840,10.5,5.1,19.4
,"Juneau Borough, AK","02110","2023","2023",11,31555,34.9,17.4,62.4
,"Kenai Peninsula Borough, AK","02122","2021","2021",11,59767,18.4,9.2,32.9
,"Kenai Peninsula Borough, AK","02122","2023","2023",11,61223,18.0,9.0,32.1
,"Kenai Peninsula Borough, AK","02122","2024 ","2024",13,61259,21.2,11.3,36.3
,"Matanuska-Susitna Borough, AK","02170","2020","2020",12,110213,10.9,5.6,19.0
,"Matanuska-Susitna Borough, AK","02170","2021","2021",17,110686,15.4,8.9,24.6
,"Matanuska-Susitna Borough, AK","02170","2022","2022",19,113325,16.8,10.1,26.2
,"Matanuska-Susitna Borough, AK","02170","2023","2023",32,115239,27.8,19.0,39.2
,"Matanuska-Susitna Borough, AK","02170","2024 ","2024",43,117613,36.6,26.5,49.2
,"Apache County, AZ","04001","2020","2020",12,71875,16.7,8.6,29.2
,"Apache County, AZ","04001","2021","2021",15,65623,22.9,12.8,37.7
,"Apache County, AZ","04001","2022","2022",23,65432,35.2,22.3,52.7
,"Apache County, AZ","04001","2023","2023",30,65036,46.1,31.1,65.9
,"Apache County, AZ","04001","2024 ","2024",12,64800,18.5,9.6,32.3
,"Cochise County, AZ","04003","2020","2020",14,127450,11.0,6.0,18.4
,"Cochise County, AZ","04003","2021","2021",13,126050,10.3,5.5,17.6
,"Cochise County, AZ","04003","2022","2022",26,125663,20.7,13.5,30.3
,"Cochise County, AZ","04003","2023","2023",22,124640,17.7,11.1,26.7
,"Cochise County, AZ","04003","2024 ","2024",14,125773,11.1,6.1,18.7
,"Coconino County, AZ","04005","2018","2018",12,142854,8.4,4.3,14.7
,"Coconino County, AZ","04005","2020","2020",25,142481,17.5,11.4,25.9
,"Coconino County, AZ","04005","2021","2021",17,145052,11.7,6.8,18.8
,"Coconino County, AZ","04005","2022","2022",25,144060,17.4,11.2,25.6
,"Coconino County, AZ","04005","2023","2023",18,144472,12.5,7.4,19.7
,"Coconino County, AZ","04005","2024 ","2024",25,145161,17.2,11.1,25.4
,"Gila County, AZ","04007","2021","2021",12,53589,22.4,11.6,39.1
