"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","2021","2021",10,239294,4.2,2.0,7.7
,"Baldwin County, AL","01003","2022","2022",11,246435,4.5,2.2,8.0
,"Baldwin County, AL","01003","2024 ","2024",14,261608,5.4,2.9,9.0
,"Jefferson County, AL","01073","2018","2018",42,659300,6.4,4.6,8.6
,"Jefferson County, AL","01073","2019","2019",47,658573,7.1,5.2,9.5
,"Jefferson County, AL","01073","2020","2020",60,655342,9.2,7.0,11.8
,"Jefferson County, AL","01073","2021","2021",111,667820,16.6,13.5,19.7
,"Jefferson County, AL","01073","2022","2022",128,665409,19.2,15.9,22.6
,"Jefferson County, AL","01073","2023","2023",132,662895,19.9,16.5,23.3
,"Jefferson County, AL","01073","2024 ","2024",96,664744,14.4,11.7,17.6
,"Madison County, AL","01089","2021","2021",12,395211,3.0,1.6,5.3
,"Madison County, AL","01089","2023","2023",14,412600,3.4,1.9,5.7
,"Madison County, AL","01089","2024 ","2024",10,423355,2.4,1.1,4.3
,"Mobile County, AL","01097","2020","2020",18,412716,4.4,2.6,6.9
,"Mobile County, AL","01097","2021","2021",21,413073,5.1,3.1,7.8
,"Mobile County, AL","01097","2022","2022",24,411411,5.8,3.7,8.7
,"Mobile County, AL","01097","2023","2023",29,411640,7.0,4.7,10.1
,"Mobile County, AL","01097","2024 ","2024",24,412339,5.8,3.7,8.7
,"Montgomery County, AL","01101","2020","2020",10,224639,4.5,2.1,8.2
,"Montgomery County, AL","01101","2023","2023",12,224980,5.3,2.8,9.3
,"Montgomery County, AL","01101","2024 ","2024",12,225894,5.3,2.7,9.3
,"Shelby County, AL","01117","2024 ","2024",10,235969,4.2,2.0,7.8
,"Tuscaloosa County, AL","01125","2023","2023",11,237373,4.6,2.3,8.3
,"Anchorage Borough, AK","02020","2020","2020",13,287095,4.5,2.4,7.7
,"Anchorage Borough, AK","02020","2022","2022",18,287145,6.3,3.7,9.9
,"Anchorage Borough, AK","02020","2023","2023",19,286075,6.6,4.0,10.4
,"Anchorage Borough, AK","02020","2024 ","2024",24,289600,8.3,5.3,12.3
,"Maricopa County, AZ","04013","2018","2018",135,4410824,3.1,2.5,3.6
,"Maricopa County, AZ","04013","2019","2019",108,4485414,2.4,2.0,2.9
,"Maricopa County, AZ","04013","2020","2020",115,4579081,2.5,2.1,3.0
,"Maricopa County, AZ","04013","2021","2021",125,4496588,2.8,2.3,3.3
,"Maricopa County, AZ","04013","2022","2022",147,4551524,3.2,2.7,3.8
,"Maricopa County, AZ","04013","2023","2023",170,4585871,3.7,3.1,4.3
,"Maricopa County, AZ","04013","2024 ","2024",162,4673096,3.5,2.9,4.0
