"Notes","County","County Code","Year","Year Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"Baldwin County, AL","01003","2019","2019",12,223234,5.4,2.8,9.4
,"Baldwin County, AL","01003","2020","2020",22,229287,9.6,6.0,14.5
,"Baldwin County, AL","01003","2021","2021",42,239294,17.6,12.6,23.7
,"Baldwin County, AL","01003","2022","2022",40,246435,16.2,11.6,22.1
,"Baldwin County, AL","01003","2023","2023",34,253507,13.4,9.3,18.7
,"Baldwin County, AL","01003","2024 ","2024",19,261608,7.3,4.4,11.3
,"Blount County, AL","01009","2023","2023",12,59816,20.1,10.4,35.0
,"Calhoun County, AL","01015","2021","2021",11,115972,9.5,4.7,17.0
,"Calhoun County, AL","01015","2022","2022",25,115788,21.6,14.0,31.9
,"Calhoun County, AL","01015","2023","2023",17,116429,14.6,8.5,23.4
,"Colbert County, AL","01033","2023","2023",13,58361,22.3,11.9,38.1
,"Colbert County, AL","01033","2024 ","2024",12,58785,20.4,10.5,35.7
,"Cullman County, AL","01043","2021","2021",15,89496,16.8,9.4,27.6
,"Cullman County, AL","01043","2022","2022",17,90665,18.8,10.9,30.0
,"Cullman County, AL","01043","2023","2023",15,92016,16.3,9.1,26.9
,"Cullman County, AL","01043","2024 ","2024",15,92604,16.2,9.1,26.7
,"DeKalb County, AL","01049","2020","2020",11,71658,15.4,7.7,27.5
,"DeKalb County, AL","01049","2023","2023",12,72569,16.5,8.5,28.9
,"DeKalb County, AL","01049","2024 ","2024",10,73122,13.7,6.6,25.2
,"Etowah County, AL","01055","2021","2021",16,103162,15.5,8.9,25.2
,"Etowah County, AL","01055","2022","2022",18,103088,17.5,10.3,27.6
,"Etowah County, AL","01055","2023","2023",14,103241,13.6,7.4,22.8
,"Etowah County, AL","01055","2024 ","2024",23,103207,22.3,14.1,33.4
,"Jefferson County, AL","01073","2018","2018",35,659300,5.3,3.7,7.4
,"Jefferson County, AL","01073","2019","2019",55,658573,8.4,6.3,10.9
,"Jefferson County, AL","01073","2020","2020",79,655342,12.1,9.5,15.0
,"Jefferson County, AL","01073","2021","2021",113,667820,16.9,13.8,20.0
,"Jefferson County, AL","01073","2022","2022",129,665409,19.4,16.0,22.7
,"Jefferson County, AL","01073","2023","2023",141,662895,21.3,17.8,24.8
,"Jefferson County, AL","01073","2024 ","2024",110,664744,16.5,13.5,19.6
,"Lauderdale County, AL","01077","2022","2022",11,95878,11.5,5.7,20.5
,"Lauderdale County, AL","01077","2023","2023",11,96814,11.4,5.7,20.3
,"Lee County, AL","01081","2023","2023",11,183215,6.0,3.0,10.7
,"Lee County, AL","01081","2024 ","2024",12,187847,6.4,3.3,11.2
,"Madison County, AL","01089","2020","2020",20,379453,5.3,3.2,8.1
,"Madison County, AL","01089","2021","2021",37,395211,9.4,6.6,12.9
,"Madison County, AL","01089","2022","2022",28,403565,6.9,4.6,10.0
,"Madison County, AL","01089","2023","2023",22,412600,5.3,3.3,8.1
,"Madison County, AL","01089","2024 ","2024",18,423355,4.3,2.5,6.7
,"Marshall County, AL","01095","2019","2019",10,96774,10.3,5.0,19.0
,"Marshall County, AL","01095","2022","2022",15,99423,15.1,8.4,24.9
,"Marshall County, AL","01095","2023","2023",13,100756,12.9,6.9,22.1
,"Mobile County, AL","01097","2018","2018",10,413757,2.4,1.2,4.4
,"Mobile County, AL","01097","2019","2019",12,413210,2.9,1.5,5.1
,"Mobile County, AL","01097","2020","2020",18,412716,4.4,2.6,6.9
,"Mobile County, AL","01097","2021","2021",31,413073,7.5,5.1,10.7
,"Mobile County, AL","01097","2022","2022",49,411411,11.9,8.8,15.7
,"Mobile County, AL","01097","2023","2023",49,411640,11.9,8.8,15.7
,"Mobile County, AL","01097","2024 ","2024",55,412339,13.3,10.0,17.4
,"Montgomery County, AL","01101","2021","2021",11,227434,4.8,2.4,8.7
,"Montgomery County, AL","01101","2022","2022",15,226361,6.6,3.7,10.9
,"Montgomery County, AL","01101","2023","2023",18,224980,8.0,4.7,12.6
,"Montgomery County, AL","01101","2024 ","2024",12,225894,5.3,2.7,9.3
,"Morgan County, AL","01103","2021","2021",11,123668,8.9,4.4,15.9
,"Morgan County, AL","01103","2022","2022",13,124211,10.5,5.6,17.9
