notes,county,fips,2023_urbanization,2023_urbanization_code,year,year_code,deaths,population,crude_rate,crude_rate_ci_lower,crude_rate_ci_upper,mcd_type
nan,"Baldwin County, AL",01003,Small Metro,4,2020,2020,12,229287.0,5.2,2.7,9.1,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2018,2018,78,659300.0,11.8,9.4,14.8,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2019,2019,71,658573.0,10.8,8.4,13.6,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2020,2020,67,655342.0,10.2,7.9,13.0,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2021,2021,58,667820.0,8.7,6.6,11.2,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2022,2022,15,,,,,T401_heroin
nan,"Jefferson County, AL",01073,Large Fringe Metro,2,2023,2023,14,,,,,T401_heroin
nan,"St. Clair County, AL",01115,Large Fringe Metro,2,2021,2021,12,92748.0,12.9,6.7,22.6,T401_heroin
nan,"Shelby County, AL",01117,Large Fringe Metro,2,2018,2018,12,215707.0,5.6,2.9,9.7,T401_heroin
nan,"Shelby County, AL",01117,Large Fringe Metro,2,2021,2021,11,226902.0,4.8,2.4,8.7,T401_heroin
nan,"Anchorage Borough, AK",02020,Medium Metro,3,2018,2018,17,291538.0,5.8,3.4,9.3,T401_heroin
nan,"Anchorage Borough, AK",02020,Medium Metro,3,2019,2019,18,288000.0,6.2,3.7,9.9,T401_heroin
nan,"Anchorage Borough, AK",02020,Medium Metro,3,2020,2020,15,287095.0,5.2,2.9,8.6,T401_heroin
nan,"Anchorage Borough, AK",02020,Medium Metro,3,2021,2021,31,288121.0,10.8,7.3,15.3,T401_heroin
nan,"Anchorage Borough, AK",02020,Medium Metro,3,2022,2022,23,,,,,T401_heroin
nan,"Matanuska-Susitna Borough, AK",02170,Medium Metro,3,2021,2021,13,110686.0,11.7,6.3,20.1,T401_heroin
nan,"Cochise County, AZ",04003,Small Metro,4,2020,2020,11,127450.0,8.6,4.3,15.4,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2018,2018,232,4410824.0,5.3,4.6,5.9,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2019,2019,160,4485414.0,3.6,3.0,4.1,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2020,2020,104,4579081.0,2.3,1.8,2.7,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2021,2021,59,4496588.0,1.3,1.0,1.7,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2022,2022,30,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2023,2023,30,,,,,T401_heroin
nan,"Maricopa County, AZ",04013,Large Central Metro,1,2024,2024,19,,,,,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2018,2018,73,1039073.0,7.0,5.5,8.8,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2019,2019,71,1047279.0,6.8,5.3,8.6,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2020,2020,64,1061175.0,6.0,4.6,7.7,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2021,2021,32,1052030.0,3.0,2.1,4.3,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2022,2022,16,,,,,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2023,2023,12,,,,,T401_heroin
nan,"Pima County, AZ",04019,Large Central Metro,1,2024,2024,12,,,,,T401_heroin
nan,"Pinal County, AZ",04021,Large Fringe Metro,2,2018,2018,11,447138.0,2.5,1.2,4.4,T401_heroin
nan,"Yavapai County, AZ",04025,Small Metro,4,2019,2019,15,235099.0,6.4,3.6,10.5,T401_heroin
nan,"Yavapai County, AZ",04025,Small Metro,4,2020,2020,12,240226.0,5.0,2.6,8.7,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2019,2019,25,1671329.0,1.5,1.0,2.2,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2020,2020,14,1662323.0,0.8,0.5,1.4,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2021,2021,19,1648556.0,1.2,0.7,1.8,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2022,2022,36,,,,,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2023,2023,14,,,,,T401_heroin
nan,"Alameda County, CA",06001,Large Central Metro,1,2024,2024,20,,,,,T401_heroin
nan,"Butte County, CA",06007,Small Metro,4,2020,2020,13,212744.0,6.1,3.3,10.4,T401_heroin
nan,"Butte County, CA",06007,Small Metro,4,2021,2021,13,208309.0,6.2,3.3,10.7,T401_heroin
nan,"Contra Costa County, CA",06013,Large Fringe Metro,2,2018,2018,17,1150215.0,1.5,0.9,2.4,T401_heroin
nan,"Contra Costa County, CA",06013,Large Fringe Metro,2,2019,2019,26,1153526.0,2.3,1.5,3.3,T401_heroin
nan,"Contra Costa County, CA",06013,Large Fringe Metro,2,2020,2020,16,1152333.0,1.4,0.8,2.3,T401_heroin
nan,"Contra Costa County, CA",06013,Large Fringe Metro,2,2021,2021,13,1161413.0,1.1,0.6,1.9,T401_heroin
nan,"Contra Costa County, CA",06013,Large Fringe Metro,2,2022,2022,10,,,,,T401_heroin
nan,"Kern County, CA",06029,Medium Metro,3,2018,2018,20,896764.0,2.2,1.4,3.4,T401_heroin
nan,"Kern County, CA",06029,Medium Metro,3,2019,2019,36,900202.0,4.0,2.8,5.5,T401_heroin
nan,"Kern County, CA",06029,Medium Metro,3,2020,2020,47,901362.0,5.2,3.8,6.9,T401_heroin
nan,"Kern County, CA",06029,Medium Metro,3,2021,2021,32,917673.0,3.5,2.4,4.9,T401_heroin
nan,"Kern County, CA",06029,Medium Metro,3,2022,2022,16,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2018,2018,181,10105518.0,1.8,1.5,2.1,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2019,2019,237,10039107.0,2.4,2.1,2.7,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2020,2020,299,9943046.0,3.0,2.7,3.3,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2021,2021,192,9829544.0,2.0,1.7,2.2,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2022,2022,163,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2023,2023,122,,,,,T401_heroin
nan,"Los Angeles County, CA",06037,Large Central Metro,1,2024,2024,79,,,,,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2018,2018,90,3185968.0,2.8,2.3,3.5,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2019,2019,76,3175692.0,2.4,1.9,3.0,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2020,2020,69,3166857.0,2.2,1.7,2.8,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2021,2021,53,3167809.0,1.7,1.3,2.2,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2022,2022,19,,,,,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2023,2023,15,,,,,T401_heroin
nan,"Orange County, CA",06059,Large Central Metro,1,2024,2024,11,,,,,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2018,2018,70,2450758.0,2.9,2.2,3.6,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2019,2019,80,2470546.0,3.2,2.6,4.0,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2020,2020,97,2489188.0,3.9,3.2,4.8,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2021,2021,78,2458395.0,3.2,2.5,4.0,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2022,2022,41,,,,,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2023,2023,32,,,,,T401_heroin
nan,"Riverside County, CA",06065,Large Central Metro,1,2024,2024,22,,,,,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2018,2018,16,1540975.0,1.0,0.6,1.7,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2019,2019,30,1552058.0,1.9,1.3,2.8,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2020,2020,27,1559146.0,1.7,1.1,2.5,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2021,2021,37,1588921.0,2.3,1.6,3.2,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2022,2022,22,,,,,T401_heroin
nan,"Sacramento County, CA",06067,Large Central Metro,1,2024,2024,11,,,,,T401_heroin
nan,"San Bernardino County, CA",06071,Large Fringe Metro,2,2018,2018,50,2171603.0,2.3,1.7,3.0,T401_heroin
nan,"San Bernardino County, CA",06071,Large Fringe Metro,2,2019,2019,36,2180085.0,1.7,1.2,2.3,T401_heroin
nan,"San Bernardino County, CA",06071,Large Fringe Metro,2,2020,2020,60,2189183.0,2.7,2.1,3.5,T401_heroin
nan,"San Bernardino County, CA",06071,Large Fringe Metro,2,2021,2021,50,2194710.0,2.3,1.7,3.0,T401_heroin
