statefp,mml_approved,rec_cann_approved,policy_group,policy_group_label
01,1,0,1,Medical only
02,1,1,2,Adult-use (any)
04,1,1,2,Adult-use (any)
05,1,0,1,Medical only
06,1,1,2,Adult-use (any)
08,1,1,2,Adult-use (any)
09,1,1,2,Adult-use (any)
10,1,1,2,Adult-use (any)
12,1,0,1,Medical only
13,0,0,0,No medical/adult-use
15,1,0,1,Medical only
16,0,0,0,No medical/adult-use
17,1,1,2,Adult-use (any)
18,0,0,0,No medical/adult-use
19,0,0,0,No medical/adult-use
20,0,0,0,No medical/adult-use
21,1,0,1,Medical only
22,1,0,1,Medical only
23,1,1,2,Adult-use (any)
24,1,1,2,Adult-use (any)
25,1,1,2,Adult-use (any)
26,1,1,2,Adult-use (any)
27,1,1,2,Adult-use (any)
28,1,0,1,Medical only
29,1,1,2,Adult-use (any)
30,1,1,2,Adult-use (any)
31,0,0,0,No medical/adult-use
32,1,1,2,Adult-use (any)
33,1,0,1,Medical only
34,1,1,2,Adult-use (any)
35,1,1,2,Adult-use (any)
36,1,1,2,Adult-use (any)
37,0,0,0,No medical/adult-use
38,1,0,1,Medical only
39,1,1,2,Adult-use (any)
40,1,0,1,Medical only
41,1,1,2,Adult-use (any)
42,1,0,1,Medical only
44,1,1,2,Adult-use (any)
45,0,0,0,No medical/adult-use
46,1,0,1,Medical only
47,0,0,0,No medical/adult-use
48,0,0,0,No medical/adult-use
49,1,0,1,Medical only
50,1,1,2,Adult-use (any)
51,1,1,2,Adult-use (any)
53,1,1,2,Adult-use (any)
54,1,0,1,Medical only
55,0,0,0,No medical/adult-use
56,0,0,0,No medical/adult-use
